"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EhungInt","EappINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7346","79770603","79770603-2012-09-11",40,100,2012-09-11,"HA1",2012,"M","Adult",5328.81355932204,0,1,2,0.333333333333333,3,8,0.272727272727273,3,11,0.214285714285714,5,15,0.25,5,19,0.208333333333333,6,20,0.230769230769231,7,26,0.212121212121212,10,34,0.227272727272727,11,40,0.215686274509804,11,48,0.186440677966102,21,80,0.207920792079208,27,100,0.21259842519685,37,116,0.241830065359477,39,132,0.228070175438596,41,156,0.208121827411168,44,184,0.192982456140351,47,210,0.182879377431907
"7388","79774078","79774078-2012-12-19",10,90,2012-12-19,"HA1",2012,"M","Adult",19826.0869565217,0,1,14,0.0666666666666667,8,39,0.170212765957447,11,63,0.148648648648649,15,80,0.157894736842105,20,111,0.152671755725191,21,114,0.155555555555556,26,121,0.17687074829932,30,147,0.169491525423729,31,154,0.167567567567568,31,164,0.158974358974359,39,220,0.150579150579151,60,273,0.18018018018018,74,336,0.180487804878049,84,430,0.163424124513619,105,525,0.166666666666667,121,617,0.163956639566396,122,651,0.157826649417853
"7401","79774854","79774854-2012-08-29",50,50,2012-08-29,"HA1",2012,"F","Adult",171.428571428571,1,0,0,NA,2,6,0.25,2,10,0.166666666666667,2,16,0.111111111111111,2,22,0.0833333333333333,2,27,0.0689655172413793,4,32,0.111111111111111,7,41,0.145833333333333,8,49,0.140350877192982,8,53,0.131147540983607,19,98,0.162393162393162,29,159,0.154255319148936,33,173,0.160194174757282,33,179,0.155660377358491,33,179,0.155660377358491,33,179,0.155660377358491,33,179,0.155660377358491
"7427","79775849","79775849-2012-09-28",90,30,2012-09-28,"HA1",2012,"F","Adult",206.451612903226,0,0,4,0,1,17,0.0555555555555556,4,29,0.121212121212121,6,31,0.162162162162162,11,39,0.22,11,43,0.203703703703704,12,49,0.19672131147541,13,58,0.183098591549296,16,66,0.195121951219512,20,71,0.21978021978022,24,95,0.201680672268908,34,117,0.225165562913907,43,157,0.215,55,202,0.214007782101167,62,251,0.198083067092652,71,300,0.191374663072776,75,308,0.195822454308094
"7457","79776883","79776883-2012-11-21",90,80,2012-11-21,"HA1",2012,"M","Adult",63.6363636363636,0,2,7,0.222222222222222,11,25,0.305555555555556,17,49,0.257575757575758,21,58,0.265822784810127,26,87,0.230088495575221,32,97,0.248062015503876,35,100,0.259259259259259,39,109,0.263513513513513,47,122,0.27810650887574,49,131,0.272222222222222,59,169,0.258771929824561,70,211,0.249110320284698,83,278,0.229916897506925,93,352,0.208988764044944,109,425,0.204119850187266,122,506,0.194267515923567,123,539,0.185800604229607
"7512","79779379","79779379-2012-08-28",100,20,2012-08-28,"HA1",2012,"M","Adult",3.44827586206897,0,1,3,0.25,2,12,0.142857142857143,3,14,0.176470588235294,3,15,0.166666666666667,4,19,0.173913043478261,4,22,0.153846153846154,4,22,0.153846153846154,4,25,0.137931034482759,6,28,0.176470588235294,7,28,0.2,8,38,0.173913043478261,12,55,0.17910447761194,13,64,0.168831168831169,17,81,0.173469387755102,22,109,0.16793893129771,25,134,0.157232704402516,28,157,0.151351351351351
"7566","79782524","79782524-2012-12-18",90,90,2012-12-18,"HA1",2012,"F","Adult",3.57142857142857,0,1,3,0.25,7,33,0.175,13,63,0.171052631578947,21,78,0.212121212121212,27,100,0.21259842519685,28,104,0.212121212121212,30,118,0.202702702702703,38,132,0.223529411764706,44,141,0.237837837837838,45,148,0.233160621761658,58,181,0.242677824267782,71,224,0.240677966101695,80,283,0.220385674931129,87,382,0.185501066098081,110,470,0.189655172413793,124,558,0.181818181818182,126,606,0.172131147540984
"7591","79783071","79783071-2012-10-09",0,40,2012-10-09,"HA1",2012,"F","NotAdult",1840,0,0,3,0,1,14,0.0666666666666667,2,21,0.0869565217391304,5,33,0.131578947368421,6,48,0.111111111111111,6,58,0.09375,7,71,0.0897435897435897,11,91,0.107843137254902,13,104,0.111111111111111,13,119,0.0984848484848485,24,158,0.131868131868132,28,183,0.132701421800948,41,212,0.162055335968379,47,239,0.164335664335664,60,270,0.181818181818182,69,307,0.183510638297872,78,338,0.1875
"7679","79786569","79786569-2012-10-23",20,10,2012-10-23,"HA1",2012,"M","Adult",908.108108108108,0,1,5,0.166666666666667,2,23,0.08,3,44,0.0638297872340425,5,53,0.0862068965517241,9,82,0.0989010989010989,9,91,0.09,12,93,0.114285714285714,15,107,0.122950819672131,15,118,0.112781954887218,16,124,0.114285714285714,22,158,0.122222222222222,30,192,0.135135135135135,41,224,0.154716981132075,55,266,0.171339563862928,73,323,0.184343434343434,97,381,0.202928870292887,103,401,0.204365079365079
"7712","79789358","79789358-2012-10-24",0,60,2012-10-24,"HA1",2012,"M","Adult",50,0,0,5,0,2,17,0.105263157894737,5,27,0.15625,5,45,0.1,8,66,0.108108108108108,11,70,0.135802469135802,16,82,0.163265306122449,18,105,0.146341463414634,19,115,0.141791044776119,24,130,0.155844155844156,36,186,0.162162162162162,46,238,0.161971830985915,57,276,0.171171171171171,74,308,0.193717277486911,86,349,0.197701149425287,94,390,0.194214876033058,103,431,0.192883895131086
