"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EhungInt","EappINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"5963","67070550","67070550-2012-07-17",20,60,2012-07-17,"HA1",2012,"F","NotAdult",15,0,0,3,0,0,7,0,0,12,0,1,14,0.0666666666666667,1,18,0.0526315789473684,1,21,0.0454545454545455,1,22,0.0434782608695652,1,26,0.037037037037037,1,29,0.0333333333333333,1,34,0.0285714285714286,1,47,0.0208333333333333,2,55,0.0350877192982456,3,71,0.0405405405405405,3,77,0.0375,5,84,0.0561797752808989,6,84,0.0666666666666667,6,84,0.0666666666666667
"6252","67088839","67088839-2012-10-23",20,60,2012-10-23,"HA1",2012,"M","Adult",2230.76923076923,0,0,6,0,2,24,0.0769230769230769,5,39,0.113636363636364,10,49,0.169491525423729,15,75,0.166666666666667,16,90,0.150943396226415,18,94,0.160714285714286,22,113,0.162962962962963,30,131,0.186335403726708,32,144,0.181818181818182,52,216,0.194029850746269,68,261,0.206686930091185,83,307,0.212820512820513,91,353,0.204954954954955,101,399,0.202,106,407,0.206627680311891,106,407,0.206627680311891
"6257","67089554","67089554-2012-09-25",40,90,2012-09-25,"HA1",2012,"F","Adult",91.1111111111111,1,1,0,1,2,7,0.222222222222222,4,18,0.181818181818182,4,20,0.166666666666667,9,30,0.230769230769231,9,34,0.209302325581395,13,42,0.236363636363636,16,54,0.228571428571429,19,68,0.218390804597701,24,75,0.242424242424242,31,119,0.206666666666667,43,143,0.231182795698925,49,168,0.225806451612903,51,194,0.208163265306122,54,227,0.192170818505338,60,260,0.1875,60,261,0.186915887850467
"6421","67125021","67125021-2012-08-28",50,40,2012-08-28,"HA1",2012,"M","Adult",33.3333333333333,0,1,2,0.333333333333333,1,3,0.25,2,7,0.222222222222222,2,10,0.166666666666667,3,24,0.111111111111111,3,28,0.0967741935483871,4,29,0.121212121212121,7,32,0.179487179487179,7,47,0.12962962962963,7,50,0.12280701754386,13,99,0.116071428571429,20,135,0.129032258064516,27,161,0.143617021276596,29,167,0.147959183673469,29,167,0.147959183673469,29,167,0.147959183673469,29,167,0.147959183673469
"6427","67125021","67125021-2012-10-09",10,30,2012-10-09,"HA1",2012,"M","Adult",56160,0,1,5,0.166666666666667,2,19,0.0952380952380952,5,36,0.121951219512195,6,47,0.113207547169811,7,73,0.0875,8,80,0.0909090909090909,10,90,0.1,10,114,0.0806451612903226,12,125,0.0875912408759124,15,133,0.101351351351351,25,161,0.134408602150538,29,186,0.134883720930233,39,212,0.155378486055777,51,258,0.16504854368932,67,292,0.186629526462396,74,332,0.182266009852217,80,340,0.19047619047619
"6450","67126571","67126571-2012-06-19",60,60,2012-06-19,"HA1",2012,"F","NotAdult",7216.66666666667,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,4,0,0,4,0,0,6,0,1,8,0.111111111111111,1,9,0.1,1,18,0.0526315789473684,2,23,0.08,3,23,0.115384615384615,3,27,0.1,3,28,0.0967741935483871,3,28,0.0967741935483871,3,28,0.0967741935483871
"6463","67259597","67259597-2012-08-14",100,10,2012-08-14,"HA1",2012,"F","Adult",151.351351351351,0,1,2,0.333333333333333,2,5,0.285714285714286,2,5,0.285714285714286,2,11,0.153846153846154,2,13,0.133333333333333,3,14,0.176470588235294,3,15,0.166666666666667,3,17,0.15,3,18,0.142857142857143,3,18,0.142857142857143,5,24,0.172413793103448,6,28,0.176470588235294,7,44,0.137254901960784,7,55,0.112903225806452,10,75,0.117647058823529,14,103,0.11965811965812,15,121,0.110294117647059
"6680","79612792","79612792-2012-12-05",10,90,2012-12-05,"HA1",2012,"M","Adult",4447.05882352941,0,1,12,0.0769230769230769,8,34,0.19047619047619,11,55,0.166666666666667,15,71,0.174418604651163,20,100,0.166666666666667,21,103,0.169354838709677,25,110,0.185185185185185,29,136,0.175757575757576,30,142,0.174418604651163,30,150,0.166666666666667,37,199,0.156779661016949,58,249,0.188925081433225,72,306,0.19047619047619,82,393,0.172631578947368,103,483,0.175767918088737,117,569,0.170553935860058,118,602,0.163888888888889
"6698","79614576","79614576-2012-12-04",10,20,2012-12-04,"HA1",2012,"F","Adult",143.75,0,1,9,0.1,4,47,0.0784313725490196,6,77,0.072289156626506,8,93,0.0792079207920792,14,122,0.102941176470588,14,140,0.0909090909090909,15,149,0.0914634146341463,16,165,0.0883977900552486,16,177,0.0829015544041451,17,187,0.0833333333333333,30,245,0.109090909090909,40,286,0.122699386503067,48,337,0.124675324675325,71,394,0.152688172043011,90,480,0.157894736842105,117,558,0.173333333333333,122,588,0.171830985915493
"6718","79615341","79615341-2012-12-18",20,10,2012-12-18,"HA1",2012,"M","Adult",35.2941176470588,0,1,8,0.111111111111111,3,40,0.0697674418604651,5,75,0.0625,7,92,0.0707070707070707,12,132,0.0833333333333333,12,144,0.0769230769230769,15,147,0.0925925925925926,19,166,0.102702702702703,19,183,0.0940594059405941,20,196,0.0925925925925926,26,244,0.0962962962962963,35,295,0.106060606060606,48,357,0.118518518518519,67,425,0.136178861788618,87,524,0.142389525368249,117,615,0.159836065573771,123,649,0.159326424870466
"6719","79615341","79615341-2012-12-05",20,0,2012-12-05,"HA1",2012,"M","Adult",87.5,0,0,5,0,2,33,0.0571428571428571,4,50,0.0740740740740741,4,72,0.0526315789473684,6,99,0.0571428571428571,8,115,0.0650406504065041,12,120,0.0909090909090909,15,130,0.103448275862069,15,146,0.093167701863354,18,149,0.107784431137725,22,209,0.0952380952380952,27,250,0.0974729241877256,36,299,0.107462686567164,54,365,0.128878281622912,72,442,0.140077821011673,92,511,0.15257048092869,116,584,0.165714285714286
