"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","Tryps","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7713","79789358","79789358-2012-11-20",10,30,2012-11-20,"HA1",2012,"M","Adult",1,0,0,1,0,3,9,0.25,4,22,0.153846153846154,5,30,0.142857142857143,6,40,0.130434782608696,7,47,0.12962962962963,7,53,0.116666666666667,9,68,0.116883116883117,9,73,0.109756097560976,9,78,0.103448275862069,10,101,0.0900900900900901,12,125,0.0875912408759124,18,156,0.103448275862069,22,192,0.102803738317757,27,221,0.108870967741935,35,258,0.119453924914676,37,275,0.118589743589744
"7730","79790568","79790568-2012-09-27",90,70,2012-09-27,"HA1",2012,"M","Adult",0,0,0,3,0,2,7,0.222222222222222,2,16,0.111111111111111,2,19,0.0952380952380952,2,24,0.0769230769230769,3,26,0.103448275862069,3,28,0.0967741935483871,5,37,0.119047619047619,5,44,0.102040816326531,5,45,0.1,7,62,0.101449275362319,8,76,0.0952380952380952,8,95,0.0776699029126214,9,122,0.0687022900763359,11,140,0.0728476821192053,15,160,0.0857142857142857,15,168,0.0819672131147541
"7731","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",0,0,1,3,0.25,3,15,0.166666666666667,5,22,0.185185185185185,5,24,0.172413793103448,8,32,0.2,8,35,0.186046511627907,8,37,0.177777777777778,8,42,0.16,8,52,0.133333333333333,8,56,0.125,9,69,0.115384615384615,11,81,0.119565217391304,12,100,0.107142857142857,13,124,0.0948905109489051,14,150,0.0853658536585366,19,169,0.101063829787234,19,180,0.0954773869346734
"7732","79790568","79790568-2012-10-23",100,90,2012-10-23,"HA1",2012,"M","Adult",0,0,1,3,0.25,2,11,0.153846153846154,3,18,0.142857142857143,5,23,0.178571428571429,8,32,0.2,8,32,0.2,11,34,0.244444444444444,11,40,0.215686274509804,12,43,0.218181818181818,12,46,0.206896551724138,12,66,0.153846153846154,13,79,0.141304347826087,16,96,0.142857142857143,18,117,0.133333333333333,19,144,0.116564417177914,22,177,0.110552763819095,24,199,0.10762331838565
"7733","79790568","79790568-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",0,0,1,4,0.2,3,19,0.136363636363636,6,33,0.153846153846154,6,38,0.136363636363636,13,47,0.216666666666667,14,52,0.212121212121212,14,54,0.205882352941176,14,61,0.186666666666667,14,72,0.162790697674419,15,77,0.16304347826087,17,95,0.151785714285714,23,111,0.171641791044776,24,144,0.142857142857143,26,175,0.129353233830846,27,211,0.113445378151261,33,239,0.121323529411765,34,253,0.118466898954704
"7734","79790568","79790568-2012-12-04",100,90,2012-12-04,"HA1",2012,"M","Adult",1,0,1,7,0.125,2,18,0.1,4,29,0.121212121212121,6,36,0.142857142857143,9,46,0.163636363636364,9,48,0.157894736842105,13,50,0.206349206349206,15,57,0.208333333333333,16,61,0.207792207792208,16,65,0.197530864197531,17,90,0.158878504672897,21,106,0.165354330708661,26,130,0.166666666666667,28,159,0.149732620320856,29,194,0.130044843049327,33,232,0.124528301886792,35,262,0.117845117845118
"7735","79790568","79790568-2012-11-21",90,60,2012-11-21,"HA1",2012,"M","Adult",1,1,0,2,0,1,11,0.0833333333333333,3,22,0.12,5,31,0.138888888888889,8,48,0.142857142857143,9,49,0.155172413793103,9,57,0.136363636363636,11,73,0.130952380952381,16,78,0.170212765957447,16,81,0.164948453608247,23,124,0.156462585034014,25,148,0.144508670520231,29,180,0.138755980861244,30,209,0.125523012552301,34,250,0.119718309859155,37,285,0.114906832298137,38,291,0.115501519756839
"7753","79792086","79792086-2012-12-18",100,20,2012-12-18,"HA1",2012,"F","Adult",0,0,0,3,0,0,13,0,1,19,0.05,2,25,0.0740740740740741,3,29,0.09375,3,32,0.0857142857142857,3,34,0.0810810810810811,4,36,0.1,5,45,0.1,6,50,0.107142857142857,11,75,0.127906976744186,13,105,0.110169491525424,17,130,0.115646258503401,24,161,0.12972972972973,32,209,0.132780082987552,38,248,0.132867132867133,39,283,0.12111801242236
"7771","79792581","79792581-2012-10-11",90,70,2012-10-11,"HA1",2012,"F","Adult",0,0,0,4,0,3,13,0.1875,6,23,0.206896551724138,7,26,0.212121212121212,8,34,0.19047619047619,10,37,0.212765957446809,10,41,0.196078431372549,12,52,0.1875,12,61,0.164383561643836,12,63,0.16,15,84,0.151515151515152,18,103,0.148760330578512,18,126,0.125,20,156,0.113636363636364,22,180,0.108910891089109,27,206,0.11587982832618,27,216,0.111111111111111
"7882","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",0,0,0,3,0,0,10,0,0,11,0,0,15,0,0,19,0,0,25,0,0,32,0,1,37,0.0263157894736842,1,42,0.0232558139534884,1,45,0.0217391304347826,4,63,0.0597014925373134,4,76,0.05,7,95,0.0686274509803922,9,113,0.0737704918032787,12,128,0.0857142857142857,14,139,0.0915032679738562,14,156,0.0823529411764706
