"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","Tryps","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4502","66808052","66808052-2012-09-11",100,10,2012-09-11,"HA1",2012,"M","Adult",1,0,0,2,0,0,5,0,0,6,0,0,8,0,0,9,0,1,10,0.0909090909090909,1,11,0.0833333333333333,1,14,0.0666666666666667,1,16,0.0588235294117647,1,16,0.0588235294117647,2,24,0.0769230769230769,2,28,0.0666666666666667,3,46,0.0612244897959184,4,56,0.0666666666666667,5,78,0.0602409638554217,8,99,0.0747663551401869,8,114,0.0655737704918033
"4503","66808052","66808052-2012-10-09",0,0,2012-10-09,"HA1",2012,"M","Adult",0,1,0,1,0,0,7,0,0,13,0,0,17,0,3,19,0.136363636363636,3,22,0.12,3,24,0.111111111111111,4,25,0.137931034482759,4,27,0.129032258064516,4,29,0.121212121212121,6,42,0.125,6,53,0.101694915254237,7,67,0.0945945945945946,8,80,0.0909090909090909,11,97,0.101851851851852,11,120,0.083969465648855,11,147,0.069620253164557
"4505","66808052","66808052-2012-11-07",20,20,2012-11-07,"HA1",2012,"M","Adult",1,0,0,3,0,3,9,0.25,5,19,0.208333333333333,6,30,0.166666666666667,7,46,0.132075471698113,8,53,0.131147540983607,8,56,0.125,8,60,0.117647058823529,8,69,0.103896103896104,9,77,0.104651162790698,11,93,0.105769230769231,14,117,0.106870229007634,16,141,0.101910828025478,20,174,0.103092783505155,27,226,0.106719367588933,34,253,0.118466898954704,35,263,0.11744966442953
"4506","66808052","66808052-2012-11-20",40,20,2012-11-20,"HA1",2012,"M","Adult",1,0,0,2,0,0,5,0,2,7,0.222222222222222,2,18,0.1,4,32,0.111111111111111,5,40,0.111111111111111,7,45,0.134615384615385,8,62,0.114285714285714,10,80,0.111111111111111,12,85,0.123711340206186,15,117,0.113636363636364,16,146,0.0987654320987654,18,182,0.09,29,218,0.117408906882591,36,265,0.119601328903654,37,276,0.118210862619808,37,276,0.118210862619808
"4527","66809820","66809820-2012-07-17",30,50,2012-07-17,"HA1",2012,"F","NotAdult",1,0,0,1,0,0,2,0,0,6,0,0,6,0,0,8,0,0,9,0,0,9,0,0,15,0,2,18,0.1,2,19,0.0952380952380952,2,30,0.0625,2,37,0.0512820512820513,2,40,0.0476190476190476,2,47,0.0408163265306122,2,48,0.04,2,48,0.04,2,48,0.04
"4532","66810112","66810112-2012-09-11",50,80,2012-09-11,"HA1",2012,"M","Adult",1,0,0,2,0,0,4,0,0,7,0,0,9,0,1,18,0.0526315789473684,1,24,0.04,1,27,0.0357142857142857,1,33,0.0294117647058824,3,43,0.0652173913043478,4,48,0.0769230769230769,4,72,0.0526315789473684,7,87,0.074468085106383,7,97,0.0673076923076923,9,107,0.0775862068965517,9,128,0.0656934306569343,9,129,0.0652173913043478,9,129,0.0652173913043478
"4536","66810301","66810301-2012-08-30",10,100,2012-08-30,"HA1",2012,"M","Adult",1,0,0,1,0,0,4,0,0,5,0,0,10,0,0,11,0,0,11,0,0,14,0,0,16,0,0,16,0,0,18,0,0,26,0,0,40,0,3,53,0.0535714285714286,4,61,0.0615384615384615,5,84,0.0561797752808989,7,100,0.0654205607476635,7,104,0.0630630630630631
"4543","66810776","66810776-2012-07-04",70,30,2012-07-04,"HA1",2012,"M","Adult",0,0,0,0,NA,1,1,0.5,1,2,0.333333333333333,1,3,0.25,1,3,0.25,1,4,0.2,1,6,0.142857142857143,1,11,0.0833333333333333,1,11,0.0833333333333333,1,11,0.0833333333333333,1,14,0.0666666666666667,1,21,0.0454545454545455,2,31,0.0606060606060606,2,39,0.0487804878048781,2,41,0.0465116279069767,2,42,0.0454545454545455,2,42,0.0454545454545455
"4544","66810776","66810776-2012-07-17",70,0,2012-07-17,"HA1",2012,"M","Adult",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,0,3,0,0,4,0,1,5,0.166666666666667,1,6,0.142857142857143,1,6,0.142857142857143,1,9,0.1,1,12,0.0769230769230769,2,24,0.0769230769230769,2,30,0.0625,2,36,0.0526315789473684,2,40,0.0476190476190476,2,45,0.0425531914893617
"4545","66810776","66810776-2012-07-31",60,30,2012-07-31,"HA1",2012,"M","Adult",0,0,1,0,1,1,2,0.333333333333333,1,2,0.333333333333333,1,3,0.25,1,7,0.125,1,7,0.125,1,10,0.0909090909090909,1,13,0.0714285714285714,1,17,0.0555555555555556,1,18,0.0526315789473684,1,24,0.04,2,37,0.0512820512820513,2,48,0.04,3,56,0.0508474576271186,3,58,0.0491803278688525,3,59,0.0483870967741935,3,59,0.0483870967741935
"4554","66811012","66811012-2012-06-21",90,70,2012-06-21,"HA1",2012,"F","Adult",1,0,0,0,NA,0,0,NA,0,2,0,0,2,0,0,3,0,0,4,0,0,4,0,0,7,0,0,8,0,0,8,0,0,11,0,0,13,0,0,16,0,0,18,0,0,22,0,0,27,0,0,30,0
"4590","66815612","66815612-2012-07-04",100,80,2012-07-04,"HA1",2012,"F","Adult",1,0,0,1,0,0,2,0,0,3,0,0,4,0,0,4,0,0,6,0,0,6,0,0,6,0,0,7,0,0,7,0,0,13,0,0,14,0,1,14,0.0666666666666667,1,19,0.05,1,27,0.0357142857142857,1,32,0.0303030303030303,2,34,0.0555555555555556
"4591","66815612","66815612-2012-07-18",80,90,2012-07-18,"HA1",2012,"F","Adult",1,0,0,0,NA,1,3,0.25,1,5,0.166666666666667,1,6,0.142857142857143,1,10,0.0909090909090909,1,11,0.0833333333333333,1,12,0.0769230769230769,1,13,0.0714285714285714,1,16,0.0588235294117647,1,16,0.0588235294117647,1,17,0.0555555555555556,1,19,0.05,2,29,0.0645161290322581,2,35,0.0540540540540541,2,41,0.0465116279069767,3,46,0.0612244897959184,3,53,0.0535714285714286
"4592","66815612","66815612-2012-07-17",100,70,2012-07-17,"HA1",2012,"F","Adult",1,0,0,0,NA,0,3,0,0,3,0,0,4,0,0,5,0,0,5,0,0,6,0,0,7,0,0,10,0,0,11,0,0,17,0,1,18,0.0526315789473684,1,21,0.0454545454545455,1,27,0.0357142857142857,1,32,0.0303030303030303,1,37,0.0263157894736842,2,44,0.0434782608695652
"4593","66815612","66815612-2012-07-31",100,80,2012-07-31,"HA1",2012,"F","Adult",1,0,0,2,0,0,4,0,0,5,0,0,6,0,0,8,0,1,10,0.0909090909090909,1,10,0.0909090909090909,1,12,0.0769230769230769,1,13,0.0714285714285714,1,13,0.0714285714285714,1,21,0.0454545454545455,1,24,0.04,2,24,0.0769230769230769,2,30,0.0625,2,41,0.0465116279069767,2,46,0.0416666666666667,3,50,0.0566037735849057
"4610","66818332","66818332-2012-08-30",20,80,2012-08-30,"HA1",2012,"F","NotAdult",0,0,0,0,NA,0,3,0,0,7,0,0,10,0,0,16,0,0,19,0,0,21,0,0,25,0,0,30,0,0,32,0,0,47,0,1,57,0.0172413793103448,5,75,0.0625,7,96,0.0679611650485437,7,105,0.0625,7,114,0.0578512396694215,7,115,0.0573770491803279
"4611","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",0,0,0,2,0,0,7,0,1,10,0.0909090909090909,1,12,0.0769230769230769,1,20,0.0476190476190476,1,23,0.0416666666666667,1,23,0.0416666666666667,1,25,0.0384615384615385,1,29,0.0333333333333333,1,34,0.0285714285714286,1,47,0.0208333333333333,2,58,0.0333333333333333,3,79,0.0365853658536585,8,96,0.0769230769230769,9,113,0.0737704918032787,9,121,0.0692307692307692,9,126,0.0666666666666667
"4627","66821017","66821017-2012-10-09",0,30,2012-10-09,"HA1",2012,"F","NotAdult",0,0,0,1,0,0,6,0,3,10,0.230769230769231,3,14,0.176470588235294,3,26,0.103448275862069,4,29,0.121212121212121,5,33,0.131578947368421,5,39,0.113636363636364,6,46,0.115384615384615,6,47,0.113207547169811,6,62,0.0882352941176471,8,76,0.0952380952380952,9,95,0.0865384615384615,10,119,0.0775193798449612,11,135,0.0753424657534247,13,160,0.0751445086705202,18,177,0.0923076923076923
"4684","66828572","66828572-2012-10-23",50,0,2012-10-23,"HA1",2012,"M","Adult",1,0,0,3,0,0,5,0,0,6,0,0,13,0,1,19,0.05,1,21,0.0454545454545455,1,23,0.0416666666666667,3,26,0.103448275862069,5,32,0.135135135135135,5,39,0.113636363636364,10,69,0.126582278481013,11,101,0.0982142857142857,12,118,0.0923076923076923,14,131,0.096551724137931,18,160,0.101123595505618,22,184,0.106796116504854,28,222,0.112
"4688","66828572","66828572-2012-12-18",40,20,2012-12-18,"HA1",2012,"M","Adult",1,0,0,3,0,0,6,0,2,9,0.181818181818182,2,21,0.0869565217391304,4,35,0.102564102564103,5,43,0.104166666666667,7,49,0.125,8,68,0.105263157894737,10,86,0.104166666666667,12,92,0.115384615384615,15,127,0.105633802816901,17,158,0.0971428571428571,20,194,0.0934579439252336,32,238,0.118518518518519,40,292,0.120481927710843,42,307,0.120343839541547,42,307,0.120343839541547
"4752","66843623","66843623-2012-08-15",100,80,2012-08-15,"HA1",2012,"M","NotAdult",0,0,0,4,0,0,6,0,0,7,0,0,8,0,0,10,0,2,12,0.142857142857143,2,12,0.142857142857143,2,15,0.117647058823529,2,19,0.0952380952380952,2,19,0.0952380952380952,2,30,0.0625,3,34,0.0810810810810811,4,38,0.0952380952380952,4,46,0.08,4,59,0.0634920634920635,4,65,0.0579710144927536,5,71,0.0657894736842105
"4753","66843623","66843623-2012-09-28",100,90,2012-09-28,"HA1",2012,"M","Adult",1,0,0,2,0,0,9,0,1,12,0.0769230769230769,2,15,0.117647058823529,5,23,0.178571428571429,5,23,0.178571428571429,6,24,0.2,6,28,0.176470588235294,6,31,0.162162162162162,6,34,0.15,6,50,0.107142857142857,6,63,0.0869565217391304,7,77,0.0833333333333333,9,94,0.087378640776699,9,116,0.072,11,143,0.0714285714285714,13,161,0.0747126436781609
"4754","66843623","66843623-2012-10-24",100,70,2012-10-24,"HA1",2012,"M","Adult",0,0,2,3,0.4,4,15,0.210526315789474,5,21,0.192307692307692,6,27,0.181818181818182,7,32,0.179487179487179,7,37,0.159090909090909,8,41,0.163265306122449,8,46,0.148148148148148,13,53,0.196969696969697,13,56,0.188405797101449,18,84,0.176470588235294,20,103,0.16260162601626,22,123,0.151724137931034,22,149,0.128654970760234,24,178,0.118811881188119,27,205,0.116379310344828,31,231,0.118320610687023
"4755","66843623","66843623-2012-12-04",100,100,2012-12-04,"HA1",2012,"M","Adult",1,0,0,2,0,1,12,0.0769230769230769,1,14,0.0666666666666667,4,25,0.137931034482759,6,35,0.146341463414634,7,36,0.162790697674419,10,46,0.178571428571429,13,53,0.196969696969697,13,55,0.191176470588235,14,61,0.186666666666667,17,77,0.180851063829787,21,100,0.173553719008264,23,123,0.157534246575342,26,146,0.151162790697674,29,183,0.136792452830189,30,220,0.12,34,247,0.120996441281139
"4756","66843623","66843623-2012-11-22",90,80,2012-11-22,"HA1",2012,"M","Adult",0,0,2,7,0.222222222222222,4,22,0.153846153846154,7,38,0.155555555555556,8,43,0.156862745098039,15,55,0.214285714285714,16,62,0.205128205128205,16,64,0.2,16,72,0.181818181818182,16,84,0.16,17,89,0.160377358490566,21,110,0.16030534351145,27,127,0.175324675324675,28,164,0.145833333333333,30,197,0.13215859030837,31,235,0.116541353383459,38,268,0.124183006535948,39,282,0.121495327102804
"4910","66855330","66855330-2012-06-08",10,0,2012-06-08,"HA1",2012,"M","Adult",1,0,0,0,NA,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,5,0,0,6,0,0,7,0,0,10,0,0,11,0,0,11,0,0,12,0
"5006","66859820","66859820-2012-07-04",0,100,2012-07-04,"HA1",2012,"M","Adult",1,0,0,0,NA,0,1,0,0,2,0,0,2,0,0,3,0,0,3,0,0,4,0,0,5,0,0,6,0,0,6,0,0,8,0,0,11,0,0,15,0,0,23,0,1,28,0.0344827586206897,2,35,0.0540540540540541,2,39,0.0487804878048781
"5007","66859820","66859820-2012-07-31",0,90,2012-07-31,"HA1",2012,"M","Adult",1,0,0,0,NA,0,2,0,0,4,0,0,4,0,0,6,0,0,7,0,0,7,0,0,8,0,0,10,0,0,11,0,0,15,0,0,20,0,0,27,0,1,32,0.0303030303030303,3,44,0.0638297872340425,3,52,0.0545454545454545,3,55,0.0517241379310345
"5008","66859820","66859820-2012-09-11",60,50,2012-09-11,"HA1",2012,"M","Adult",1,0,0,1,0,0,6,0,0,7,0,1,12,0.0769230769230769,1,17,0.0555555555555556,2,18,0.1,2,25,0.0740740740740741,2,29,0.0645161290322581,2,34,0.0555555555555556,2,36,0.0526315789473684,5,69,0.0675675675675676,8,103,0.0720720720720721,8,121,0.062015503875969,9,129,0.0652173913043478,9,129,0.0652173913043478,9,129,0.0652173913043478,9,129,0.0652173913043478
"5031","66861012","66861012-2012-06-07",100,80,2012-06-07,"HA1",2012,"F","Adult",1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,3,0,0,5,0,0,6,0,0,6,0
"5065","66863517","66863517-2012-06-07",40,40,2012-06-07,"HA1",2012,"F","NotAdult",0,0,0,0,NA,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,6,0,0,7,0,0,9,0,0,9,0,0,9,0,0,9,0,0,9,0
"5111","66865371","66865371-2012-06-07",10,80,2012-06-07,"HA1",2012,"M","Adult",1,0,0,0,NA,0,1,0,0,1,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,4,0,0,4,0,0,8,0,0,8,0,0,9,0,0,9,0,0,9,0
"5112","66865371","66865371-2012-06-19",10,10,2012-06-19,"HA1",2012,"M","Adult",1,0,0,2,0,0,3,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,5,0,0,6,0,0,6,0,0,8,0,0,9,0,0,10,0,0,14,0,0,14,0,0,15,0,0,16,0
"5120","66866543","66866543-2012-09-27",50,0,2012-09-27,"HA1",2012,"F","NotAdult",0,0,0,1,0,0,3,0,0,3,0,0,9,0,1,13,0.0714285714285714,1,14,0.0666666666666667,1,16,0.0588235294117647,3,19,0.136363636363636,5,24,0.172413793103448,5,30,0.142857142857143,8,51,0.135593220338983,9,79,0.102272727272727,9,91,0.09,9,100,0.0825688073394495,11,119,0.0846153846153846,12,139,0.0794701986754967,15,166,0.0828729281767956
"5194","66872112","66872112-2012-10-09",0,70,2012-10-09,"HA1",2012,"M","Adult",0,0,0,1,0,0,8,0,0,11,0,1,16,0.0588235294117647,1,23,0.0416666666666667,1,26,0.037037037037037,1,30,0.032258064516129,2,35,0.0540540540540541,2,46,0.0416666666666667,2,47,0.0408163265306122,3,69,0.0416666666666667,5,85,0.0555555555555556,8,110,0.0677966101694915,10,127,0.072992700729927,14,147,0.0869565217391304,18,165,0.0983606557377049,19,180,0.0954773869346734
"5195","66872112","66872112-2012-10-23",10,70,2012-10-23,"HA1",2012,"M","Adult",1,0,0,4,0,0,13,0,1,20,0.0476190476190476,1,23,0.0416666666666667,3,32,0.0857142857142857,3,37,0.075,4,43,0.0851063829787234,4,58,0.0645161290322581,5,68,0.0684931506849315,5,69,0.0675675675675676,9,89,0.0918367346938776,11,121,0.0833333333333333,16,141,0.101910828025478,20,167,0.106951871657754,25,190,0.116279069767442,28,216,0.114754098360656,28,224,0.111111111111111
"5197","66872112","66872112-2012-11-20",0,60,2012-11-20,"HA1",2012,"M","Adult",1,0,0,3,0,0,8,0,0,13,0,1,21,0.0454545454545455,2,32,0.0588235294117647,2,38,0.05,4,45,0.0816326530612245,4,55,0.0677966101694915,4,59,0.0634920634920635,5,66,0.0704225352112676,9,104,0.079646017699115,15,133,0.101351351351351,18,156,0.103448275862069,24,184,0.115384615384615,30,206,0.127118644067797,33,234,0.123595505617978,37,268,0.121311475409836
"5305","66878865","66878865-2012-06-19",80,80,2012-06-19,"HA1",2012,"M","Adult",1,0,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,4,0,0,7,0,0,10,0,0,13,0,0,13,0,0,16,0,0,17,0
"5306","66878865","66878865-2012-07-03",70,0,2012-07-03,"HA1",2012,"M","Adult",1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,6,0,0,8,0,0,16,0,0,21,0,0,25,0,0,29,0,0,33,0
"5307","66878865","66878865-2012-08-14",70,0,2012-08-14,"HA1",2012,"M","Adult",1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,5,0,0,5,0,0,6,0,1,9,0.1,1,11,0.0833333333333333,1,11,0.0833333333333333,1,14,0.0666666666666667,1,21,0.0454545454545455,2,36,0.0526315789473684,2,44,0.0434782608695652,2,53,0.0363636363636364,2,62,0.03125,3,69,0.0416666666666667
"5308","66878865","66878865-2012-07-31",60,100,2012-07-31,"HA1",2012,"M","Adult",1,0,0,1,0,0,3,0,0,4,0,1,6,0.142857142857143,1,8,0.111111111111111,1,9,0.1,1,11,0.0833333333333333,1,12,0.0769230769230769,1,12,0.0769230769230769,1,16,0.0588235294117647,1,23,0.0416666666666667,1,33,0.0294117647058824,2,35,0.0540540540540541,2,41,0.0465116279069767,2,46,0.0416666666666667,3,50,0.0566037735849057,3,57,0.05
"5309","66878865","66878865-2012-08-29",100,80,2012-08-29,"HA1",2012,"M","Adult",1,0,0,5,0,0,9,0,0,12,0,0,13,0,0,16,0,2,18,0.1,2,18,0.1,2,21,0.0869565217391304,2,26,0.0714285714285714,2,27,0.0689655172413793,2,39,0.0487804878048781,3,45,0.0625,4,49,0.0754716981132075,4,60,0.0625,4,75,0.0506329113924051,5,85,0.0555555555555556,6,94,0.06
"5446","66883112","66883112-2012-06-06",70,100,2012-06-06,"HA1",2012,"F","Adult",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"5447","66883112","66883112-2012-06-19",80,100,2012-06-19,"HA1",2012,"F","Adult",1,0,0,0,NA,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,4,0,0,4,0,0,5,0,0,11,0,0,12,0,0,13,0,0,13,0
"5503","66885846","66885846-2012-10-11",60,20,2012-10-11,"HA1",2012,"M","Adult",0,0,0,2,0,1,6,0.142857142857143,1,7,0.125,3,12,0.2,4,23,0.148148148148148,4,28,0.125,4,31,0.114285714285714,6,40,0.130434782608696,6,48,0.111111111111111,6,56,0.0967741935483871,9,89,0.0918367346938776,13,117,0.1,18,141,0.113207547169811,22,176,0.111111111111111,26,207,0.111587982832618,28,217,0.114285714285714,28,217,0.114285714285714
"5530","66887847","66887847-2012-10-10",100,40,2012-10-10,"HA1",2012,"M","Adult",1,0,0,2,0,0,6,0,0,9,0,1,12,0.0769230769230769,2,17,0.105263157894737,3,20,0.130434782608696,5,29,0.147058823529412,5,37,0.119047619047619,5,39,0.113636363636364,7,48,0.127272727272727,12,74,0.13953488372093,14,86,0.14,16,108,0.129032258064516,19,131,0.126666666666667,23,153,0.130681818181818,25,185,0.119047619047619,26,204,0.11304347826087
"5631","66893321","66893321-2012-12-18",100,0,2012-12-18,"HA1",2012,"M","Adult",0,0,0,1,0,0,9,0,1,12,0.0769230769230769,1,16,0.0588235294117647,1,17,0.0555555555555556,2,19,0.0952380952380952,2,27,0.0689655172413793,2,30,0.0625,3,32,0.0857142857142857,3,36,0.0769230769230769,6,54,0.1,8,66,0.108108108108108,11,88,0.111111111111111,15,117,0.113636363636364,20,161,0.110497237569061,30,207,0.126582278481013,36,245,0.128113879003559
"5793","67006795","67006795-2012-09-25",20,40,2012-09-25,"HA1",2012,"M","Adult",1,0,0,2,0,1,9,0.1,2,14,0.125,2,23,0.08,3,29,0.09375,3,37,0.075,4,40,0.0909090909090909,5,51,0.0892857142857143,5,53,0.0862068965517241,5,55,0.0833333333333333,6,78,0.0714285714285714,7,94,0.0693069306930693,9,121,0.0692307692307692,10,142,0.0657894736842105,14,163,0.0790960451977401,14,165,0.0782122905027933,14,165,0.0782122905027933
"5794","67006795","67006795-2012-10-09",20,40,2012-10-09,"HA1",2012,"M","Adult",0,0,0,3,0,1,10,0.0909090909090909,2,15,0.117647058823529,2,24,0.0769230769230769,4,30,0.117647058823529,4,38,0.0952380952380952,5,41,0.108695652173913,6,53,0.101694915254237,6,57,0.0952380952380952,7,59,0.106060606060606,8,86,0.0851063829787234,9,105,0.0789473684210526,11,133,0.0763888888888889,13,158,0.0760233918128655,19,183,0.0940594059405941,19,187,0.0922330097087379,19,187,0.0922330097087379
"5813","67007587","67007587-2012-08-30",10,70,2012-08-30,"HA1",2012,"M","Adult",1,0,0,2,0,0,6,0,0,9,0,0,10,0,0,12,0,0,16,0,0,19,0,0,23,0,0,29,0,0,30,0,1,40,0.024390243902439,1,64,0.0153846153846154,4,75,0.0506329113924051,6,89,0.0631578947368421,7,97,0.0673076923076923,7,112,0.0588235294117647,7,115,0.0573770491803279
"5873","67010314","67010314-2012-06-21",10,70,2012-06-21,"HA1",2012,"M","Adult",1,0,0,0,NA,0,1,0,0,2,0,0,3,0,0,3,0,0,4,0,0,6,0,0,8,0,0,10,0,0,10,0,0,13,0,0,20,0,0,23,0,0,25,0,0,26,0,0,30,0,0,30,0
"5878","67010536","67010536-2012-08-15",50,20,2012-08-15,"HA1",2012,"M","Adult",0,0,0,0,NA,0,3,0,1,4,0.2,1,5,0.166666666666667,1,8,0.111111111111111,1,12,0.0769230769230769,1,13,0.0714285714285714,2,16,0.111111111111111,2,21,0.0869565217391304,3,22,0.12,3,44,0.0638297872340425,3,52,0.0545454545454545,3,57,0.05,3,68,0.0422535211267606,5,82,0.0574712643678161,5,83,0.0568181818181818,5,83,0.0568181818181818
"5930","67069635","67069635-2012-10-23",30,0,2012-10-23,"HA1",2012,"F","Adult",1,0,0,1,0,1,4,0.2,2,5,0.285714285714286,2,14,0.125,2,26,0.0714285714285714,4,28,0.125,6,31,0.162162162162162,6,35,0.146341463414634,6,42,0.125,6,48,0.111111111111111,9,70,0.113924050632911,11,85,0.114583333333333,12,103,0.104347826086957,12,128,0.0857142857142857,13,149,0.0802469135802469,23,182,0.11219512195122,25,216,0.103734439834025
"6249","67088367","67088367-2012-10-23",70,40,2012-10-23,"HA1",2012,"F","NotAdult",0,1,0,1,0,1,5,0.166666666666667,3,11,0.214285714285714,3,15,0.166666666666667,4,29,0.121212121212121,4,32,0.111111111111111,5,38,0.116279069767442,5,46,0.0980392156862745,6,59,0.0923076923076923,6,65,0.0845070422535211,15,112,0.118110236220472,20,141,0.124223602484472,25,178,0.123152709359606,25,213,0.105042016806723,28,222,0.112,28,225,0.110671936758893,28,225,0.110671936758893
"6252","67088839","67088839-2012-10-23",20,60,2012-10-23,"HA1",2012,"M","Adult",1,0,1,3,0.25,1,8,0.111111111111111,1,15,0.0625,1,23,0.0416666666666667,2,37,0.0512820512820513,2,44,0.0434782608695652,2,46,0.0416666666666667,3,55,0.0517241379310345,6,66,0.0833333333333333,6,75,0.0740740740740741,12,111,0.0975609756097561,16,139,0.103225806451613,19,165,0.103260869565217,24,190,0.11214953271028,28,218,0.113821138211382,28,225,0.110671936758893,28,225,0.110671936758893
"6258","67089554","67089554-2012-10-09",30,60,2012-10-09,"HA1",2012,"F","Adult",0,0,0,0,NA,0,7,0,0,12,0,0,13,0,0,26,0,1,36,0.027027027027027,2,44,0.0434782608695652,2,51,0.0377358490566038,3,59,0.0483870967741935,3,66,0.0434782608695652,9,111,0.075,12,132,0.0833333333333333,16,157,0.092485549132948,19,180,0.0954773869346734,19,187,0.0922330097087379,19,187,0.0922330097087379,19,187,0.0922330097087379
"6281","67091302","67091302-2012-08-14",10,10,2012-08-14,"HA1",2012,"F","NotAdult",0,0,0,5,0,1,7,0.125,1,12,0.0769230769230769,1,13,0.0714285714285714,1,13,0.0714285714285714,1,13,0.0714285714285714,1,14,0.0666666666666667,1,18,0.0526315789473684,1,19,0.05,1,19,0.05,1,24,0.04,2,30,0.0625,2,36,0.0526315789473684,2,43,0.0444444444444444,2,51,0.0377358490566038,2,60,0.032258064516129,2,66,0.0294117647058824
"6283","67091302","67091302-2012-08-28",20,10,2012-08-28,"HA1",2012,"F","NotAdult",0,0,0,0,NA,0,8,0,1,12,0.0769230769230769,1,12,0.0769230769230769,1,19,0.05,1,19,0.05,1,20,0.0476190476190476,1,23,0.0416666666666667,1,25,0.0384615384615385,1,25,0.0384615384615385,2,36,0.0526315789473684,2,43,0.0444444444444444,3,52,0.0545454545454545,3,59,0.0483870967741935,3,68,0.0422535211267606,3,82,0.0352941176470588,5,93,0.0510204081632653
"6284","67091302","67091302-2012-09-11",20,20,2012-09-11,"HA1",2012,"F","Adult",0,0,0,2,0,1,5,0.166666666666667,2,12,0.142857142857143,2,19,0.0952380952380952,2,28,0.0666666666666667,2,33,0.0571428571428571,2,34,0.0555555555555556,2,37,0.0512820512820513,2,41,0.0465116279069767,2,45,0.0425531914893617,3,52,0.0545454545454545,3,65,0.0441176470588235,4,75,0.0506329113924051,5,89,0.0531914893617021,6,110,0.0517241379310345,9,127,0.0661764705882353,9,129,0.0652173913043478
"6396","67123054","67123054-2012-08-02",70,90,2012-08-02,"HA1",2012,"M","Adult",1,0,0,0,NA,0,4,0,1,9,0.1,1,11,0.0833333333333333,1,13,0.0714285714285714,1,14,0.0666666666666667,1,15,0.0625,1,21,0.0454545454545455,1,22,0.0434782608695652,1,23,0.0416666666666667,1,28,0.0344827586206897,1,37,0.0263157894736842,2,45,0.0425531914893617,2,51,0.0377358490566038,2,59,0.0327868852459016,3,69,0.0416666666666667,3,70,0.0410958904109589
"6397","67123054","67123054-2012-08-16",80,90,2012-08-16,"HA1",2012,"M","Adult",1,0,0,1,0,2,6,0.25,2,11,0.153846153846154,2,14,0.125,2,23,0.08,2,24,0.0769230769230769,2,25,0.0740740740740741,2,27,0.0689655172413793,2,30,0.0625,2,32,0.0588235294117647,2,35,0.0540540540540541,3,40,0.0697674418604651,4,52,0.0714285714285714,4,63,0.0597014925373134,4,71,0.0533333333333333,5,79,0.0595238095238095,5,89,0.0531914893617021
"6404","67124339","67124339-2012-10-11",0,70,2012-10-11,"HA1",2012,"M","Adult",0,0,0,2,0,0,9,0,0,13,0,2,19,0.0952380952380952,3,26,0.103448275862069,3,29,0.09375,3,34,0.0810810810810811,4,41,0.0888888888888889,4,53,0.0701754385964912,4,55,0.0677966101694915,7,79,0.0813953488372093,9,96,0.0857142857142857,14,124,0.101449275362319,17,143,0.10625,21,165,0.112903225806452,25,189,0.116822429906542,28,208,0.11864406779661
