"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","H.poly.EPG","EappINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7457","79776883","79776883-2012-11-21",90,80,2012-11-21,"HA1",2012,"M","Adult","0",0,2,7,0.222222222222222,11,25,0.305555555555556,17,49,0.257575757575758,21,58,0.265822784810127,26,87,0.230088495575221,32,97,0.248062015503876,35,100,0.259259259259259,39,109,0.263513513513513,47,122,0.27810650887574,49,131,0.272222222222222,59,169,0.258771929824561,70,211,0.249110320284698,83,278,0.229916897506925,93,352,0.208988764044944,109,425,0.204119850187266,122,506,0.194267515923567,123,539,0.185800604229607
"7458","79776883","79776883-2012-12-18",80,80,2012-12-18,"HA1",2012,"M","Adult","57.8947368421053",0,1,4,0.2,7,24,0.225806451612903,17,46,0.26984126984127,22,73,0.231578947368421,36,128,0.219512195121951,46,144,0.242105263157895,49,150,0.246231155778894,51,165,0.236111111111111,54,176,0.234782608695652,56,183,0.234309623430962,73,228,0.242524916943522,82,304,0.212435233160622,87,389,0.182773109243697,107,479,0.18259385665529,124,566,0.179710144927536,127,636,0.166448230668414,128,656,0.163265306122449
"7459","79776883","79776883-2012-12-05",70,90,2012-12-05,"HA1",2012,"M","Adult","4.10958904109589",0,4,8,0.333333333333333,8,26,0.235294117647059,16,51,0.238805970149254,18,63,0.222222222222222,27,94,0.223140495867769,31,100,0.236641221374046,40,119,0.251572327044025,50,143,0.259067357512953,54,161,0.251162790697674,56,172,0.245614035087719,72,211,0.254416961130742,80,287,0.217983651226158,93,379,0.197033898305085,106,461,0.18694885361552,118,520,0.184952978056426,125,597,0.173130193905817,126,620,0.168900804289544
"7493","79778567","79778567-2012-10-10",10,0,2012-10-10,"HA1",2012,"F","Adult","0",0,1,4,0.2,1,21,0.0454545454545455,2,31,0.0606060606060606,2,43,0.0444444444444444,4,57,0.0655737704918033,4,61,0.0615384615384615,5,68,0.0684931506849315,6,75,0.0740740740740741,7,81,0.0795454545454545,10,86,0.104166666666667,13,110,0.105691056910569,17,145,0.104938271604938,26,173,0.130653266331658,35,206,0.145228215767635,45,237,0.159574468085106,63,282,0.182608695652174,77,325,0.191542288557214
"7494","79778567","79778567-2012-10-23",10,0,2012-10-23,"HA1",2012,"F","Adult","0",0,1,5,0.166666666666667,1,23,0.0416666666666667,2,35,0.0540540540540541,2,47,0.0408163265306122,4,63,0.0597014925373134,4,67,0.0563380281690141,5,74,0.0632911392405063,7,82,0.0786516853932584,9,88,0.0927835051546392,12,93,0.114285714285714,15,121,0.110294117647059,20,159,0.111731843575419,30,193,0.134529147982063,41,227,0.152985074626866,52,265,0.16403785488959,74,317,0.18925831202046,89,364,0.196467991169978
"7495","79778567","79778567-2012-11-07",30,0,2012-11-07,"HA1",2012,"F","Adult","0",0,0,10,0,1,18,0.0526315789473684,3,26,0.103448275862069,7,39,0.152173913043478,8,60,0.117647058823529,9,70,0.113924050632911,10,83,0.10752688172043,12,98,0.109090909090909,15,124,0.107913669064748,15,137,0.0986842105263158,23,186,0.110047846889952,30,218,0.120967741935484,40,267,0.130293159609121,58,330,0.149484536082474,71,377,0.158482142857143,93,435,0.176136363636364,112,482,0.188552188552189
"7496","79778567","79778567-2012-11-20",10,10,2012-11-20,"HA1",2012,"F","Adult","3.125",0,0,11,0,3,44,0.0638297872340425,4,76,0.05,8,86,0.0851063829787234,9,112,0.0743801652892562,10,114,0.0806451612903226,12,118,0.0923076923076923,16,133,0.10738255033557,16,143,0.10062893081761,16,146,0.0987654320987654,23,192,0.106976744186047,33,237,0.122222222222222,41,281,0.127329192546584,57,339,0.143939393939394,79,393,0.167372881355932,106,487,0.178752107925801,117,514,0.185419968304279
"7512","79779379","79779379-2012-08-28",100,20,2012-08-28,"HA1",2012,"M","Adult","0",0,1,3,0.25,2,12,0.142857142857143,3,14,0.176470588235294,3,15,0.166666666666667,4,19,0.173913043478261,4,22,0.153846153846154,4,22,0.153846153846154,4,25,0.137931034482759,6,28,0.176470588235294,7,28,0.2,8,38,0.173913043478261,12,55,0.17910447761194,13,64,0.168831168831169,17,81,0.173469387755102,22,109,0.16793893129771,25,134,0.157232704402516,28,157,0.151351351351351
"7513","79779379","79779379-2012-08-16",80,10,2012-08-16,"HA1",2012,"M","Adult","0",0,0,0,NA,1,3,0.25,1,6,0.142857142857143,3,11,0.214285714285714,5,17,0.227272727272727,5,25,0.166666666666667,5,25,0.166666666666667,5,27,0.15625,5,27,0.15625,7,27,0.205882352941176,9,38,0.191489361702128,9,53,0.145161290322581,11,75,0.127906976744186,15,103,0.127118644067797,20,132,0.131578947368421,25,144,0.14792899408284,26,153,0.145251396648045
"7514","79779379","79779379-2012-08-30",90,40,2012-08-30,"HA1",2012,"M","Adult","0",0,0,0,NA,0,4,0,3,12,0.2,4,12,0.25,5,21,0.192307692307692,5,23,0.178571428571429,9,25,0.264705882352941,11,35,0.239130434782609,12,40,0.230769230769231,13,45,0.224137931034483,19,60,0.240506329113924,25,79,0.240384615384615,30,102,0.227272727272727,31,127,0.19620253164557,38,159,0.192893401015228,39,187,0.172566371681416,40,189,0.174672489082969
"7545","79781605","79781605-2012-10-09",60,40,2012-10-09,"HA1",2012,"F","Adult","0",1,0,1,0,3,7,0.3,4,14,0.222222222222222,7,24,0.225806451612903,14,38,0.269230769230769,17,49,0.257575757575758,17,58,0.226666666666667,19,75,0.202127659574468,22,88,0.2,26,96,0.213114754098361,40,188,0.175438596491228,60,244,0.197368421052632,74,306,0.194736842105263,79,335,0.190821256038647,80,340,0.19047619047619,80,340,0.19047619047619,80,340,0.19047619047619
"7562","79782524","79782524-2012-10-24",40,100,2012-10-24,"HA1",2012,"F","Adult","0",0,3,5,0.375,10,17,0.37037037037037,10,21,0.32258064516129,16,31,0.340425531914894,16,40,0.285714285714286,18,43,0.295081967213115,21,52,0.287671232876712,26,70,0.270833333333333,31,84,0.269565217391304,35,99,0.261194029850746,55,162,0.253456221198157,64,201,0.241509433962264,82,247,0.249240121580547,88,283,0.237196765498652,95,341,0.217889908256881,99,389,0.202868852459016,107,436,0.197053406998158
"7563","79782524","79782524-2012-11-07",80,70,2012-11-07,"HA1",2012,"F","Adult","0",1,1,3,0.25,6,17,0.260869565217391,13,31,0.295454545454545,19,45,0.296875,33,74,0.308411214953271,36,89,0.288,37,101,0.268115942028986,43,120,0.263803680981595,52,135,0.27807486631016,53,139,0.276041666666667,66,198,0.25,75,262,0.222551928783383,90,318,0.220588235294118,104,386,0.212244897959184,113,456,0.198594024604569,115,493,0.189144736842105,115,503,0.186084142394822
"7564","79782524","79782524-2012-12-04",80,100,2012-12-04,"HA1",2012,"F","Adult","5.26315789473684",0,0,13,0,4,26,0.133333333333333,9,37,0.195652173913043,16,48,0.25,21,74,0.221052631578947,26,82,0.240740740740741,29,93,0.237704918032787,34,107,0.24113475177305,38,122,0.2375,41,130,0.239766081871345,61,168,0.266375545851528,70,201,0.25830258302583,81,249,0.245454545454545,90,358,0.200892857142857,104,435,0.192949907235622,116,495,0.189852700490998,124,537,0.187594553706505
"7565","79782524","79782524-2012-11-21",100,100,2012-11-21,"HA1",2012,"F","Adult","116.129032258065",1,0,1,0,3,13,0.1875,4,15,0.210526315789474,7,34,0.170731707317073,10,46,0.178571428571429,11,50,0.180327868852459,14,61,0.186666666666667,22,74,0.229166666666667,25,79,0.240384615384615,30,86,0.258620689655172,42,115,0.267515923566879,53,150,0.261083743842365,66,190,0.2578125,77,239,0.243670886075949,88,312,0.22,105,395,0.21,113,447,0.201785714285714
"7566","79782524","79782524-2012-12-18",90,90,2012-12-18,"HA1",2012,"F","Adult","39.2857142857143",0,1,3,0.25,7,33,0.175,13,63,0.171052631578947,21,78,0.212121212121212,27,100,0.21259842519685,28,104,0.212121212121212,30,118,0.202702702702703,38,132,0.223529411764706,44,141,0.237837837837838,45,148,0.233160621761658,58,181,0.242677824267782,71,224,0.240677966101695,80,283,0.220385674931129,87,382,0.185501066098081,110,470,0.189655172413793,124,558,0.181818181818182,126,606,0.172131147540984
