"","estbrm","lowerCIestbrm","upperCIestbrm"
"1",0.341599427345934,-3.50703470944572,3.68986918336069
"2",0.341599427345934,-3.50703470944572,3.68986918336069
"3",1.08674468291308,-2.75149844831565,4.93302453779044
"4",0.719172398667416,-2.98650911524396,4.30360571083382
"5",-0.35813958438218,-4.13570423511434,2.95513173827051
"6",-1.13695009688325,-5.53979639307107,2.37258923353049
"7",-0.559431897087544,-4.99570095652843,3.18266176138506
"8",0.495557513687418,-3.80649717116215,4.28075364957041
"9",2.32894061602806,-1.46067037507692,6.39174741838018
"10",2.95657842769675,-0.797577184614165,7.2146487388427
"11",3.75651120540865,-0.939636144401334,9.15108959034374
"12",2.32858231520146,-3.80138614344184,8.36760153806531
"13",3.42391626475058,-4.07562139154492,10.6394080582767
"14",7.46468398999257,-1.2681534680113,16.5887370172706
"15",7.74511924823495,-3.86912694979295,18.9981592817772
"16",4.73939500984396,-9.08273192330569,17.7955095328736
"17",0.002870690374951,-8.6637920177365,8.53326604674992
