"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EhungInt","HpolINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"6698","79614576","79614576-2012-12-04",10,20,2012-12-04,"HA1",2012,"F","Adult",143.75,"1",3,7,0.3,8,43,0.156862745098039,16,67,0.192771084337349,18,83,0.178217821782178,22,114,0.161764705882353,22,132,0.142857142857143,23,141,0.140243902439024,30,151,0.165745856353591,35,158,0.181347150259067,40,164,0.196078431372549,53,222,0.192727272727273,62,264,0.190184049079755,74,311,0.192207792207792,86,379,0.18494623655914,106,464,0.185964912280702,123,552,0.182222222222222,129,581,0.18169014084507
"6718","79615341","79615341-2012-12-18",20,10,2012-12-18,"HA1",2012,"M","Adult",35.2941176470588,"1",3,6,0.333333333333333,8,35,0.186046511627907,15,65,0.1875,20,79,0.202020202020202,28,116,0.194444444444444,33,123,0.211538461538462,34,128,0.209876543209877,38,147,0.205405405405405,40,162,0.198019801980198,44,172,0.203703703703704,58,212,0.214814814814815,74,256,0.224242424242424,93,312,0.22962962962963,111,381,0.225609756097561,133,478,0.217675941080196,153,579,0.209016393442623,164,608,0.212435233160622
"6719","79615341","79615341-2012-12-05",20,0,2012-12-05,"HA1",2012,"M","Adult",87.5,"1",2,3,0.4,7,28,0.2,9,45,0.166666666666667,12,64,0.157894736842105,19,86,0.180952380952381,22,101,0.178861788617886,23,109,0.174242424242424,25,120,0.172413793103448,32,129,0.198757763975155,33,134,0.197604790419162,40,191,0.173160173160173,52,225,0.187725631768953,70,265,0.208955223880597,87,332,0.20763723150358,104,410,0.202334630350195,121,482,0.200663349917081,132,568,0.188571428571429
"6774","79618628","79618628-2012-09-27",100,50,2012-09-27,"HA1",2012,"M","Adult",3781.81818181818,"0",0,0,NA,0,3,0,0,8,0,1,17,0.0555555555555556,5,25,0.166666666666667,7,28,0.2,10,40,0.2,11,47,0.189655172413793,13,53,0.196969696969697,15,61,0.197368421052632,20,83,0.194174757281553,33,111,0.229166666666667,38,131,0.224852071005917,44,155,0.221105527638191,49,198,0.198380566801619,64,239,0.211221122112211,69,268,0.204747774480712
"6796","79619290","79619290-2012-09-28",100,80,2012-09-28,"HA1",2012,"M","Adult",1392.98245614035,"0",1,6,0.142857142857143,1,14,0.0666666666666667,3,20,0.130434782608696,4,22,0.153846153846154,5,35,0.125,8,41,0.163265306122449,8,42,0.16,9,51,0.15,11,59,0.157142857142857,11,65,0.144736842105263,20,91,0.18018018018018,29,107,0.213235294117647,34,134,0.202380952380952,47,159,0.228155339805825,54,203,0.21011673151751,65,246,0.209003215434084,72,282,0.203389830508475
"7027","79630010","79630010-2012-09-25",10,90,2012-09-25,"HA1",2012,"F","Adult",15.7894736842105,"0",2,3,0.4,4,14,0.222222222222222,6,25,0.193548387096774,9,32,0.219512195121951,11,43,0.203703703703704,13,43,0.232142857142857,15,46,0.245901639344262,18,54,0.25,18,55,0.246575342465753,18,59,0.233766233766234,32,76,0.296296296296296,34,107,0.24113475177305,39,132,0.228070175438596,49,164,0.230046948356808,54,200,0.21259842519685,62,227,0.214532871972318,63,242,0.20655737704918
"7080","79631102","79631102-2012-12-20",20,10,2012-12-20,"HA1",2012,"F","Adult",54.368932038835,"1",4,6,0.4,9,35,0.204545454545455,18,67,0.211764705882353,24,83,0.224299065420561,33,121,0.214285714285714,39,128,0.233532934131737,40,133,0.23121387283237,46,152,0.232323232323232,48,167,0.223255813953488,53,177,0.230434782608696,68,219,0.236933797909408,86,263,0.246418338108883,106,321,0.24824355971897,125,390,0.242718446601942,151,493,0.234472049689441,175,596,0.226977950713359,187,626,0.230012300123001
"7091","79632292","79632292-2012-09-13",100,10,2012-09-13,"HA1",2012,"M","Adult",109.090909090909,"1",1,4,0.2,3,8,0.272727272727273,4,9,0.307692307692308,5,16,0.238095238095238,7,22,0.241379310344828,9,23,0.28125,10,25,0.285714285714286,10,31,0.24390243902439,11,32,0.255813953488372,11,32,0.255813953488372,12,41,0.226415094339623,17,57,0.22972972972973,21,84,0.2,25,111,0.183823529411765,36,143,0.201117318435754,46,188,0.196581196581197,59,214,0.216117216117216
"7099","79632292","79632292-2012-11-07",70,20,2012-11-07,"HA1",2012,"M","Adult",28.5714285714286,"0",0,4,0,5,17,0.227272727272727,8,24,0.25,11,34,0.244444444444444,18,53,0.253521126760563,19,67,0.22093023255814,23,83,0.216981132075472,30,107,0.218978102189781,32,126,0.20253164556962,33,136,0.195266272189349,41,198,0.171548117154812,52,254,0.169934640522876,64,335,0.160401002506266,86,413,0.172344689378758,98,478,0.170138888888889,105,506,0.171849427168576,106,512,0.171521035598705
"7101","79632292","79632292-2012-11-20",40,10,2012-11-20,"HA1",2012,"M","Adult",7200,"1",1,0,1,3,10,0.230769230769231,5,32,0.135135135135135,10,42,0.192307692307692,14,65,0.177215189873418,15,70,0.176470588235294,18,84,0.176470588235294,21,122,0.146853146853147,25,138,0.153374233128834,25,154,0.139664804469274,44,234,0.158273381294964,60,291,0.170940170940171,78,353,0.180974477958237,83,408,0.169042769857434,97,478,0.168695652173913,111,555,0.166666666666667,111,560,0.165424739195231
"7102","79632292","79632292-2012-12-18",20,30,2012-12-18,"HA1",2012,"M","Adult",152.173913043478,"1",1,3,0.25,4,29,0.121212121212121,11,52,0.174603174603175,21,72,0.225806451612903,30,123,0.196078431372549,37,139,0.210227272727273,43,153,0.219387755102041,53,189,0.21900826446281,61,210,0.225092250922509,63,219,0.223404255319149,81,270,0.230769230769231,94,329,0.222222222222222,112,402,0.217898832684825,139,499,0.217868338557994,156,586,0.210242587601078,169,622,0.213653603034134,173,623,0.217336683417085
