"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EhungInt","HpolINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7679","79786569","79786569-2012-10-23",20,10,2012-10-23,"HA1",2012,"M","Adult",908.108108108108,"1",1,5,0.166666666666667,2,23,0.08,5,42,0.106382978723404,6,52,0.103448275862069,10,81,0.10989010989011,12,88,0.12,13,92,0.123809523809524,16,106,0.131147540983607,18,115,0.135338345864662,19,121,0.135714285714286,30,150,0.166666666666667,39,183,0.175675675675676,50,215,0.188679245283019,63,258,0.196261682242991,73,323,0.184343434343434,84,394,0.175732217573222,89,415,0.176587301587302
"7712","79789358","79789358-2012-10-24",0,60,2012-10-24,"HA1",2012,"M","Adult",50,"1",2,3,0.4,7,12,0.368421052631579,11,21,0.34375,13,37,0.26,16,58,0.216216216216216,17,64,0.209876543209877,18,80,0.183673469387755,27,96,0.219512195121951,27,107,0.201492537313433,30,124,0.194805194805195,38,184,0.171171171171171,49,235,0.172535211267606,61,272,0.183183183183183,69,313,0.180628272251309,80,355,0.183908045977011,86,398,0.177685950413223,92,442,0.172284644194757
"7713","79789358","79789358-2012-11-20",10,30,2012-11-20,"HA1",2012,"M","Adult",3031.57894736842,"1",1,8,0.111111111111111,8,27,0.228571428571429,10,55,0.153846153846154,11,71,0.134146341463415,17,103,0.141666666666667,21,111,0.159090909090909,26,125,0.172185430463576,34,157,0.178010471204188,35,178,0.164319248826291,42,189,0.181818181818182,52,234,0.181818181818182,61,273,0.182634730538922,73,331,0.180693069306931,85,404,0.173824130879346,97,472,0.170474516695958,108,537,0.167441860465116,111,559,0.165671641791045
"7730","79790568","79790568-2012-09-27",90,70,2012-09-27,"HA1",2012,"M","Adult",302.222222222222,"1",1,5,0.166666666666667,1,15,0.0625,4,23,0.148148148148148,4,27,0.129032258064516,6,38,0.136363636363636,8,44,0.153846153846154,8,48,0.142857142857143,11,60,0.154929577464789,14,66,0.175,15,68,0.180722891566265,23,93,0.198275862068966,33,116,0.221476510067114,44,144,0.234042553191489,51,185,0.216101694915254,59,225,0.207746478873239,68,261,0.206686930091185,70,273,0.204081632653061
"7731","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",260.31746031746,"0",0,4,0,5,19,0.208333333333333,6,35,0.146341463414634,6,41,0.127659574468085,10,57,0.149253731343284,12,63,0.16,12,68,0.15,14,73,0.160919540229885,15,86,0.148514851485149,17,89,0.160377358490566,26,106,0.196969696969697,32,134,0.192771084337349,44,165,0.210526315789474,57,208,0.215094339622642,69,258,0.211009174311927,78,304,0.204188481675393,81,322,0.200992555831266
"7735","79790568","79790568-2012-11-21",90,60,2012-11-21,"HA1",2012,"M","Adult",352.380952380952,"1",0,7,0,4,20,0.166666666666667,4,37,0.0975609756097561,6,58,0.09375,11,94,0.104761904761905,12,97,0.110091743119266,15,110,0.12,23,141,0.140243902439024,26,159,0.140540540540541,28,167,0.143589743589744,43,245,0.149305555555556,55,288,0.160349854227405,65,344,0.158924205378973,77,400,0.161425576519916,100,489,0.169779286926995,114,557,0.169895678092399,116,576,0.167630057803468
"7749","79792086","79792086-2012-10-25",100,10,2012-10-25,"HA1",2012,"F","NotAdult",100,"0",3,8,0.272727272727273,5,19,0.208333333333333,6,21,0.222222222222222,8,30,0.210526315789474,11,43,0.203703703703704,13,45,0.224137931034483,15,53,0.220588235294118,15,66,0.185185185185185,17,70,0.195402298850575,18,72,0.2,23,96,0.19327731092437,30,127,0.191082802547771,36,172,0.173076923076923,44,229,0.161172161172161,58,289,0.167146974063401,69,367,0.158256880733945,85,421,0.16798418972332
"7771","79792581","79792581-2012-10-11",90,70,2012-10-11,"HA1",2012,"F","Adult",400,"0",2,5,0.285714285714286,2,24,0.0769230769230769,5,38,0.116279069767442,7,45,0.134615384615385,9,62,0.126760563380282,11,73,0.130952380952381,11,82,0.118279569892473,14,102,0.120689655172414,18,110,0.140625,20,113,0.150375939849624,31,147,0.174157303370787,41,184,0.182222222222222,55,220,0.2,63,269,0.189759036144578,72,322,0.182741116751269,84,374,0.183406113537118,86,394,0.179166666666667
"7882","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",73.6842105263158,"0",1,4,0.2,3,12,0.2,3,13,0.1875,6,16,0.272727272727273,8,22,0.266666666666667,11,28,0.282051282051282,14,38,0.269230769230769,17,45,0.274193548387097,20,53,0.273972602739726,21,57,0.269230769230769,33,79,0.294642857142857,38,105,0.265734265734266,43,133,0.244318181818182,48,162,0.228571428571429,54,185,0.225941422594142,60,213,0.21978021978022,65,237,0.21523178807947
"7894","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",51.2820512820513,"1",0,1,0,2,4,0.333333333333333,4,7,0.363636363636364,6,16,0.272727272727273,9,30,0.230769230769231,9,32,0.219512195121951,9,35,0.204545454545455,11,37,0.229166666666667,11,43,0.203703703703704,12,46,0.206896551724138,15,64,0.189873417721519,21,85,0.19811320754717,27,108,0.2,40,145,0.216216216216216,54,177,0.233766233766234,59,191,0.236,60,196,0.234375
"7921","79797266","79797266-2012-09-11",20,30,2012-09-11,"HA1",2012,"F","NotAdult",7880,"0",0,0,NA,1,11,0.0833333333333333,3,19,0.136363636363636,5,27,0.15625,11,47,0.189655172413793,13,53,0.196969696969697,15,58,0.205479452054795,18,73,0.197802197802198,22,80,0.215686274509804,23,84,0.214953271028037,29,98,0.228346456692913,36,111,0.244897959183673,40,136,0.227272727272727,53,159,0.25,58,184,0.239669421487603,61,197,0.236434108527132,61,197,0.236434108527132
"7961","79797884","79797884-2012-11-21",100,90,2012-11-21,"HA1",2012,"M","Adult",930.612244897959,"0",2,9,0.181818181818182,4,21,0.16,5,33,0.131578947368421,6,45,0.117647058823529,12,65,0.155844155844156,12,71,0.144578313253012,13,85,0.13265306122449,14,100,0.12280701754386,15,105,0.125,17,109,0.134920634920635,21,161,0.115384615384615,31,196,0.136563876651982,42,237,0.150537634408602,53,301,0.149717514124294,72,367,0.164009111617312,89,438,0.16888045540797,101,491,0.170608108108108
