"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EappInt","HpolINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7096","79632292","79632292-2012-10-09",40,10,2012-10-09,"HA1",2012,"M","Adult",1527.27272727273,"1",0,0,NA,2,6,0.25,4,21,0.16,6,27,0.181818181818182,9,41,0.18,9,45,0.166666666666667,11,54,0.169230769230769,14,75,0.157303370786517,16,85,0.158415841584158,16,96,0.142857142857143,31,146,0.175141242937853,46,174,0.209090909090909,57,209,0.214285714285714,62,240,0.205298013245033,72,285,0.201680672268908,83,335,0.198564593301435,83,337,0.197619047619048
"7190","79637279","79637279-2012-09-12",0,100,2012-09-12,"HA1",2012,"M","Adult",12.1212121212121,"0",1,3,0.25,2,9,0.181818181818182,4,12,0.25,5,17,0.227272727272727,6,21,0.222222222222222,6,22,0.214285714285714,7,26,0.212121212121212,10,31,0.24390243902439,11,34,0.244444444444444,13,38,0.254901960784314,22,46,0.323529411764706,28,63,0.307692307692308,35,79,0.307017543859649,39,110,0.261744966442953,47,137,0.255434782608696,53,172,0.235555555555556,58,196,0.228346456692913
"7218","79638280","79638280-2012-09-27",30,60,2012-09-27,"HA1",2012,"F","Adult",172.093023255814,"0",0,1,0,7,9,0.4375,8,20,0.285714285714286,11,26,0.297297297297297,15,42,0.263157894736842,19,56,0.253333333333333,20,65,0.235294117647059,22,75,0.22680412371134,26,93,0.218487394957983,28,107,0.207407407407407,47,168,0.218604651162791,55,206,0.210727969348659,64,241,0.20983606557377,67,270,0.198813056379822,71,278,0.203438395415473,71,278,0.203438395415473,71,278,0.203438395415473
"7260","79639272","79639272-2012-10-10",0,90,2012-10-10,"HA1",2012,"M","Adult",444.444444444444,"0",0,6,0,5,20,0.2,7,30,0.189189189189189,7,36,0.162790697674419,11,47,0.189655172413793,12,50,0.193548387096774,13,54,0.194029850746269,16,66,0.195121951219512,19,71,0.211111111111111,22,74,0.229166666666667,27,103,0.207692307692308,38,129,0.227544910179641,40,176,0.185185185185185,49,217,0.184210526315789,63,260,0.195046439628483,71,307,0.187830687830688,76,336,0.184466019417476
"7321","79769626","79769626-2012-10-09",40,80,2012-10-09,"HA1",2012,"F","Adult",16933.3333333333,"0",0,1,0,2,4,0.333333333333333,4,8,0.333333333333333,6,19,0.24,14,38,0.269230769230769,16,57,0.219178082191781,17,67,0.202380952380952,27,91,0.228813559322034,32,110,0.225352112676056,34,119,0.222222222222222,49,176,0.217777777777778,57,218,0.207272727272727,65,250,0.206349206349206,75,288,0.206611570247934,79,332,0.192214111922141,83,337,0.197619047619048,83,337,0.197619047619048
"7328","79770053","79770053-2012-10-25",10,20,2012-10-25,"HA1",2012,"M","Adult",11.7647058823529,"0",2,5,0.285714285714286,4,35,0.102564102564103,9,57,0.136363636363636,11,71,0.134146341463415,15,98,0.132743362831858,15,113,0.1171875,16,120,0.117647058823529,21,127,0.141891891891892,25,133,0.158227848101266,29,138,0.173652694610778,41,183,0.183035714285714,49,214,0.186311787072243,60,254,0.191082802547771,68,306,0.181818181818182,83,373,0.182017543859649,94,446,0.174074074074074,98,471,0.172231985940246
"7401","79774854","79774854-2012-08-29",50,50,2012-08-29,"HA1",2012,"F","Adult",240,"0",0,0,NA,1,7,0.125,1,11,0.0833333333333333,5,13,0.277777777777778,5,19,0.208333333333333,7,22,0.241379310344828,8,28,0.222222222222222,11,37,0.229166666666667,14,43,0.245614035087719,14,47,0.229508196721311,32,85,0.273504273504274,48,140,0.25531914893617,51,155,0.247572815533981,53,159,0.25,53,159,0.25,53,159,0.25,53,159,0.25
"7422","79775849","79775849-2012-10-09",100,40,2012-10-09,"HA1",2012,"F","Adult",60.7142857142857,"0",0,4,0,2,13,0.133333333333333,4,18,0.181818181818182,6,25,0.193548387096774,8,33,0.195121951219512,10,37,0.212765957446809,14,45,0.23728813559322,18,53,0.253521126760563,19,62,0.234567901234568,21,70,0.230769230769231,25,109,0.186567164179104,34,131,0.206060606060606,44,162,0.213592233009709,53,193,0.215447154471545,58,236,0.197278911564626,70,288,0.195530726256983,82,327,0.200488997555012
"7456","79776883","79776883-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",7.14285714285714,"0",0,5,0,5,26,0.161290322580645,8,51,0.135593220338983,8,64,0.111111111111111,12,88,0.12,14,99,0.123893805309735,15,104,0.126050420168067,18,113,0.137404580152672,19,132,0.125827814569536,21,140,0.130434782608696,30,171,0.149253731343284,37,214,0.147410358565737,53,267,0.165625,68,329,0.171284634760705,85,394,0.177453027139875,98,464,0.174377224199288,103,489,0.173986486486486
"7545","79781605","79781605-2012-10-09",60,40,2012-10-09,"HA1",2012,"F","Adult",12600,"0",1,0,1,2,8,0.2,5,13,0.277777777777778,7,24,0.225806451612903,15,37,0.288461538461538,19,47,0.287878787878788,19,56,0.253333333333333,25,69,0.265957446808511,25,85,0.227272727272727,26,96,0.213114754098361,48,180,0.210526315789474,60,244,0.197368421052632,75,305,0.197368421052632,82,332,0.198067632850242,83,337,0.197619047619048,83,337,0.197619047619048,83,337,0.197619047619048
