"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","MHV","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4651","79638837","79638837-2012-10-09",100,80,2012-10-09,"HA1",2012,"M","Adult",0,0,1,5,0.166666666666667,4,11,0.266666666666667,5,12,0.294117647058824,5,14,0.263157894736842,6,16,0.272727272727273,7,21,0.25,7,22,0.241379310344828,7,26,0.212121212121212,9,30,0.230769230769231,9,31,0.225,18,40,0.310344827586207,21,48,0.304347826086957,25,54,0.316455696202532,29,66,0.305263157894737,31,90,0.256198347107438,33,105,0.239130434782609,36,117,0.235294117647059
"4652","79619290","79619290-2012-10-09",100,90,2012-10-09,"HA1",2012,"M","Adult",1,1,0,2,0,1,7,0.125,3,8,0.272727272727273,4,13,0.235294117647059,6,19,0.24,6,19,0.24,6,21,0.222222222222222,9,22,0.290322580645161,9,25,0.264705882352941,11,26,0.297297297297297,16,36,0.307692307692308,19,42,0.311475409836066,21,50,0.295774647887324,28,60,0.318181818181818,29,80,0.26605504587156,32,101,0.240601503759398,35,112,0.238095238095238
"4654","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",0,0,2,1,0.666666666666667,4,9,0.307692307692308,5,16,0.238095238095238,6,16,0.272727272727273,7,24,0.225806451612903,9,26,0.257142857142857,9,28,0.243243243243243,11,31,0.261904761904762,16,35,0.313725490196078,17,36,0.320754716981132,19,43,0.306451612903226,23,48,0.323943661971831,27,62,0.303370786516854,30,82,0.267857142857143,31,104,0.22962962962963,36,117,0.235294117647059,37,127,0.225609756097561
"4661","79630840","79630840-2012-10-09",70,70,2012-10-09,"HA1",2012,"F","NotAdult",0,0,0,1,0,0,2,0,3,7,0.3,5,10,0.333333333333333,10,18,0.357142857142857,10,21,0.32258064516129,14,25,0.358974358974359,17,39,0.303571428571429,19,44,0.301587301587302,20,44,0.3125,27,57,0.321428571428571,28,79,0.261682242990654,31,99,0.238461538461538,36,116,0.236842105263158,37,127,0.225609756097561,39,132,0.228070175438596,39,132,0.228070175438596
"4664","79786569","79786569-2012-10-09",60,70,2012-10-09,"HA1",2012,"M","Adult",0,0,0,0,NA,3,2,0.6,3,4,0.428571428571429,5,6,0.454545454545455,6,15,0.285714285714286,6,20,0.230769230769231,8,26,0.235294117647059,15,29,0.340909090909091,17,37,0.314814814814815,20,41,0.327868852459016,27,71,0.275510204081633,28,90,0.23728813559322,31,105,0.227941176470588,37,126,0.226993865030675,38,132,0.223529411764706,39,132,0.228070175438596,39,132,0.228070175438596
"4665","79781605","79781605-2012-10-09",60,40,2012-10-09,"HA1",2012,"F","Adult",1,0,0,1,0,3,4,0.428571428571429,5,5,0.5,8,8,0.5,9,13,0.409090909090909,10,18,0.357142857142857,11,19,0.366666666666667,12,25,0.324324324324324,13,27,0.325,13,32,0.288888888888889,25,67,0.271739130434783,29,94,0.235772357723577,37,117,0.24025974025974,39,129,0.232142857142857,39,132,0.228070175438596,39,132,0.228070175438596,39,132,0.228070175438596
"4678","66887847","66887847-2012-10-10",100,40,2012-10-10,"HA1",2012,"M","Adult",1,0,0,1,0,1,4,0.2,1,6,0.142857142857143,2,8,0.2,4,11,0.266666666666667,4,15,0.210526315789474,8,21,0.275862068965517,11,24,0.314285714285714,11,27,0.289473684210526,12,36,0.25,21,55,0.276315789473684,21,65,0.244186046511628,27,75,0.264705882352941,31,93,0.25,33,107,0.235714285714286,39,132,0.228070175438596,40,146,0.21505376344086
"4685","79792581","79792581-2012-10-11",90,70,2012-10-11,"HA1",2012,"F","Adult",0,0,1,1,0.5,5,7,0.416666666666667,7,17,0.291666666666667,7,20,0.259259259259259,8,28,0.222222222222222,9,31,0.225,10,32,0.238095238095238,14,38,0.269230769230769,19,42,0.311475409836066,19,43,0.306451612903226,25,56,0.308641975308642,25,70,0.263157894736842,31,84,0.269565217391304,33,108,0.234042553191489,36,126,0.222222222222222,39,149,0.207446808510638,40,158,0.202020202020202
"4690","66885846","66885846-2012-10-11",60,20,2012-10-11,"HA1",2012,"M","Adult",0,0,0,2,0,2,5,0.285714285714286,3,5,0.375,4,11,0.266666666666667,7,20,0.259259259259259,8,22,0.266666666666667,8,25,0.242424242424242,9,32,0.219512195121951,10,36,0.217391304347826,14,38,0.269230769230769,19,64,0.228915662650602,24,88,0.214285714285714,30,107,0.218978102189781,32,131,0.196319018404908,40,149,0.211640211640212,41,159,0.205,41,159,0.205
"4693","67124339","67124339-2012-10-11",0,70,2012-10-11,"HA1",2012,"M","Adult",0,0,0,0,NA,0,2,0,0,6,0,1,12,0.0769230769230769,1,19,0.05,1,22,0.0434782608695652,1,27,0.0357142857142857,1,34,0.0285714285714286,2,43,0.0444444444444444,2,44,0.0434782608695652,6,58,0.09375,8,69,0.103896103896104,18,90,0.166666666666667,25,105,0.192307692307692,30,122,0.197368421052632,36,138,0.206896551724138,39,154,0.202072538860104
"4718","66808052","66808052-2012-10-09",0,0,2012-10-09,"HA1",2012,"M","Adult",0,0,1,0,1,2,5,0.285714285714286,3,10,0.230769230769231,3,14,0.176470588235294,4,17,0.19047619047619,5,17,0.227272727272727,5,19,0.208333333333333,6,20,0.230769230769231,6,22,0.214285714285714,7,23,0.233333333333333,8,35,0.186046511627907,9,42,0.176470588235294,12,51,0.19047619047619,13,59,0.180555555555556,20,70,0.222222222222222,21,89,0.190909090909091,29,105,0.216417910447761
"4729","79783071","79783071-2012-10-09",0,40,2012-10-09,"HA1",2012,"F","NotAdult",0,0,0,1,0,0,6,0,1,6,0.142857142857143,1,12,0.0769230769230769,1,18,0.0526315789473684,2,21,0.0869565217391304,2,24,0.0769230769230769,4,33,0.108108108108108,5,35,0.125,6,37,0.13953488372093,9,51,0.15,10,63,0.136986301369863,19,79,0.193877551020408,24,84,0.222222222222222,28,104,0.212121212121212,35,115,0.233333333333333,39,130,0.230769230769231
"4734","79630010","79630010-2012-10-09",20,60,2012-10-09,"HA1",2012,"F","Adult",1,0,0,3,0,0,6,0,1,9,0.1,1,12,0.0769230769230769,1,20,0.0476190476190476,1,24,0.04,1,26,0.037037037037037,2,32,0.0588235294117647,3,39,0.0714285714285714,7,42,0.142857142857143,17,65,0.207317073170732,22,85,0.205607476635514,29,99,0.2265625,35,113,0.236486486486486,37,130,0.221556886227545,39,132,0.228070175438596,39,132,0.228070175438596
