"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","MHV","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4921","79623797","79623797-2012-11-20",0,90,2012-11-20,"HA1",2012,"M","Adult",0,0,1,4,0.2,1,12,0.0769230769230769,1,20,0.0476190476190476,1,22,0.0434782608695652,1,28,0.0344827586206897,1,29,0.0333333333333333,1,34,0.0285714285714286,4,40,0.0909090909090909,4,45,0.0816326530612245,4,48,0.0769230769230769,7,63,0.1,10,75,0.117647058823529,15,92,0.14018691588785,18,115,0.135338345864662,29,142,0.169590643274854,41,171,0.193396226415094,46,193,0.192468619246862
"4926","66808052","66808052-2012-11-07",20,20,2012-11-07,"HA1",2012,"M","Adult",1,0,1,0,1,2,7,0.222222222222222,4,16,0.2,5,26,0.161290322580645,6,41,0.127659574468085,9,45,0.166666666666667,9,48,0.157894736842105,11,50,0.180327868852459,11,57,0.161764705882353,11,66,0.142857142857143,13,78,0.142857142857143,22,90,0.196428571428571,23,113,0.169117647058824,26,143,0.153846153846154,38,176,0.177570093457944,45,197,0.18595041322314,48,202,0.192
"4928","79782524","79782524-2012-11-07",80,70,2012-11-07,"HA1",2012,"F","Adult",0,0,0,0,NA,1,8,0.111111111111111,4,12,0.25,5,23,0.178571428571429,12,34,0.260869565217391,17,41,0.293103448275862,18,44,0.290322580645161,22,52,0.297297297297297,23,62,0.270588235294118,24,64,0.272727272727273,30,77,0.280373831775701,35,101,0.257352941176471,38,129,0.227544910179641,40,160,0.2,44,181,0.195555555555556,46,201,0.186234817813765,48,202,0.192
"4933","79772013","79772013-2012-11-07",30,50,2012-11-07,"HA1",2012,"M","Adult",0,1,2,2,0.5,2,6,0.25,2,15,0.117647058823529,2,17,0.105263157894737,2,25,0.0740740740740741,3,27,0.1,3,32,0.0857142857142857,8,41,0.163265306122449,10,57,0.149253731343284,12,63,0.16,23,111,0.171641791044776,30,151,0.165745856353591,39,167,0.189320388349515,43,193,0.182203389830508,48,202,0.192,48,202,0.192,48,202,0.192
"4937","79623797","79623797-2012-11-08",30,50,2012-11-08,"HA1",2012,"M","Adult",0,0,3,2,0.6,3,6,0.333333333333333,3,15,0.166666666666667,3,17,0.15,3,25,0.107142857142857,4,27,0.129032258064516,4,32,0.111111111111111,9,43,0.173076923076923,11,59,0.157142857142857,13,66,0.164556962025316,24,114,0.173913043478261,31,157,0.164893617021277,40,175,0.186046511627907,44,201,0.179591836734694,49,211,0.188461538461538,49,211,0.188461538461538,49,211,0.188461538461538
"4974","79783063","79783063-2012-11-07",100,100,2012-11-07,"HA1",2012,"F","Adult",1,0,0,0,NA,3,5,0.375,3,5,0.375,5,14,0.263157894736842,7,18,0.28,7,20,0.259259259259259,10,28,0.263157894736842,11,33,0.25,11,33,0.25,13,37,0.26,17,46,0.26984126984127,22,58,0.275,27,72,0.272727272727273,31,89,0.258333333333333,37,115,0.243421052631579,38,144,0.208791208791209,40,163,0.197044334975369
"4975","79790568","79790568-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",0,0,2,2,0.5,4,12,0.25,8,23,0.258064516129032,9,24,0.272727272727273,11,34,0.244444444444444,13,39,0.25,13,41,0.240740740740741,15,46,0.245901639344262,21,50,0.295774647887324,22,53,0.293333333333333,25,65,0.277777777777778,30,75,0.285714285714286,35,101,0.257352941176471,38,128,0.228915662650602,39,159,0.196969696969697,44,180,0.196428571428571,45,193,0.189075630252101
"4976","79776883","79776883-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",1,0,2,2,0.5,4,12,0.25,8,23,0.258064516129032,9,24,0.272727272727273,11,34,0.244444444444444,13,39,0.25,13,41,0.240740740740741,15,46,0.245901639344262,21,50,0.295774647887324,22,53,0.293333333333333,25,65,0.277777777777778,30,75,0.285714285714286,35,101,0.257352941176471,38,128,0.228915662650602,39,159,0.196969696969697,44,180,0.196428571428571,45,193,0.189075630252101
"5010","79639272","79639272-2012-11-20",10,90,2012-11-20,"HA1",2012,"M","Adult",0,0,0,3,0,1,16,0.0588235294117647,1,25,0.0384615384615385,1,31,0.03125,4,38,0.0952380952380952,4,38,0.0952380952380952,4,41,0.0888888888888889,4,52,0.0714285714285714,4,54,0.0689655172413793,4,55,0.0677966101694915,10,68,0.128205128205128,15,85,0.15,17,104,0.140495867768595,26,130,0.166666666666667,37,163,0.185,46,192,0.19327731092437,47,203,0.188
"5012","79789358","79789358-2012-11-20",10,30,2012-11-20,"HA1",2012,"M","Adult",1,0,1,0,1,1,9,0.1,2,19,0.0952380952380952,3,26,0.103448275862069,4,35,0.102564102564103,7,40,0.148936170212766,8,46,0.148148148148148,11,57,0.161764705882353,11,60,0.154929577464789,11,62,0.150684931506849,14,79,0.150537634408602,19,99,0.161016949152542,25,127,0.164473684210526,31,153,0.168478260869565,36,174,0.171428571428571,45,203,0.181451612903226,49,214,0.186311787072243
"5015","66808052","66808052-2012-11-20",40,20,2012-11-20,"HA1",2012,"M","Adult",1,0,1,1,0.5,1,4,0.2,1,7,0.125,3,13,0.1875,6,25,0.193548387096774,6,33,0.153846153846154,6,38,0.136363636363636,13,48,0.213114754098361,16,65,0.197530864197531,16,71,0.183908045977011,24,96,0.2,26,116,0.183098591549296,29,143,0.168604651162791,36,173,0.172248803827751,46,209,0.180392156862745,49,215,0.185606060606061,49,215,0.185606060606061
"5016","79772013","79772013-2012-11-21",0,90,2012-11-21,"HA1",2012,"M","Adult",0,0,1,5,0.166666666666667,1,14,0.0666666666666667,1,23,0.0416666666666667,1,25,0.0384615384615385,1,31,0.03125,1,32,0.0303030303030303,1,38,0.0256410256410256,4,45,0.0816326530612245,4,50,0.0740740740740741,4,53,0.0701754385964912,8,69,0.103896103896104,11,82,0.118279569892473,16,100,0.137931034482759,19,126,0.131034482758621,31,154,0.167567567567568,43,184,0.18942731277533,48,206,0.188976377952756
"5022","79790568","79790568-2012-12-04",100,90,2012-12-04,"HA1",2012,"M","Adult",1,1,3,4,0.428571428571429,4,12,0.25,7,19,0.269230769230769,8,26,0.235294117647059,11,33,0.25,11,35,0.239130434782609,12,38,0.24,15,43,0.258620689655172,15,47,0.241935483870968,17,49,0.257575757575758,24,66,0.266666666666667,27,79,0.254716981132075,31,97,0.2421875,39,115,0.253246753246753,42,147,0.222222222222222,45,179,0.200892857142857,48,200,0.193548387096774
"5024","66843623","66843623-2012-12-04",100,100,2012-12-04,"HA1",2012,"M","Adult",1,0,0,2,0,3,7,0.3,3,7,0.3,6,16,0.272727272727273,9,24,0.272727272727273,9,26,0.257142857142857,12,35,0.25531914893617,13,40,0.245283018867925,13,42,0.236363636363636,15,46,0.245901639344262,19,58,0.246753246753247,25,72,0.257731958762887,30,90,0.25,34,107,0.24113475177305,42,136,0.235955056179775,43,168,0.203791469194313,45,190,0.191489361702128
"5027","79786569","79786569-2012-12-04",70,100,2012-12-04,"HA1",2012,"M","Adult",0,0,2,4,0.333333333333333,5,14,0.263157894736842,7,17,0.291666666666667,8,19,0.296296296296296,9,24,0.272727272727273,12,33,0.266666666666667,12,39,0.235294117647059,15,48,0.238095238095238,17,59,0.223684210526316,20,66,0.232558139534884,28,84,0.25,29,101,0.223076923076923,35,130,0.212121212121212,40,153,0.207253886010363,42,175,0.193548387096774,47,199,0.191056910569106,50,220,0.185185185185185
"5040","79775849","79775849-2012-11-20",80,40,2012-11-20,"HA1",2012,"F","Adult",0,0,0,0,NA,3,5,0.375,8,8,0.5,8,16,0.333333333333333,11,25,0.305555555555556,15,32,0.319148936170213,15,36,0.294117647058824,16,44,0.266666666666667,19,57,0.25,19,61,0.2375,24,92,0.206896551724138,34,117,0.225165562913907,40,146,0.21505376344086,45,175,0.204545454545455,48,205,0.189723320158103,49,215,0.185606060606061,49,215,0.185606060606061
"5046","79786569","79786569-2012-11-20",60,90,2012-11-20,"HA1",2012,"M","Adult",0,0,2,0,1,3,9,0.25,6,16,0.272727272727273,6,21,0.222222222222222,7,33,0.175,7,36,0.162790697674419,10,40,0.2,15,53,0.220588235294118,16,57,0.219178082191781,19,64,0.228915662650602,28,101,0.217054263565891,33,123,0.211538461538462,37,142,0.206703910614525,39,160,0.195979899497487,43,181,0.191964285714286,46,209,0.180392156862745,49,215,0.185606060606061
"5055","79782524","79782524-2012-11-21",100,100,2012-11-21,"HA1",2012,"F","Adult",0,0,0,1,0,3,6,0.333333333333333,3,6,0.333333333333333,6,15,0.285714285714286,8,22,0.266666666666667,8,24,0.25,11,33,0.25,12,38,0.24,12,40,0.230769230769231,14,44,0.241379310344828,18,55,0.246575342465753,24,69,0.258064516129032,29,87,0.25,33,104,0.240875912408759,40,133,0.23121387283237,41,165,0.199029126213592,43,186,0.187772925764192
"5058","79790568","79790568-2012-11-21",90,60,2012-11-21,"HA1",2012,"M","Adult",1,0,1,0,1,3,5,0.375,4,16,0.2,7,23,0.233333333333333,10,37,0.212765957446809,11,38,0.224489795918367,15,39,0.277777777777778,19,52,0.267605633802817,21,58,0.265822784810127,21,59,0.2625,31,93,0.25,34,110,0.236111111111111,39,136,0.222857142857143,43,159,0.212871287128713,46,191,0.194092827004219,49,223,0.180147058823529,51,228,0.182795698924731
"5061","66843623","66843623-2012-11-22",90,80,2012-11-22,"HA1",2012,"M","Adult",0,1,2,6,0.25,4,16,0.2,8,29,0.216216216216216,9,31,0.225,12,43,0.218181818181818,14,49,0.222222222222222,14,51,0.215384615384615,16,57,0.219178082191781,22,62,0.261904761904762,23,65,0.261363636363636,27,81,0.25,32,92,0.258064516129032,38,121,0.238993710691824,41,150,0.214659685863874,42,183,0.186666666666667,47,209,0.18359375,48,222,0.177777777777778
"5096","79772013","79772013-2012-12-04",10,20,2012-12-04,"HA1",2012,"M","Adult",0,0,0,4,0,3,16,0.157894736842105,4,23,0.148148148148148,5,32,0.135135135135135,7,43,0.14,7,46,0.132075471698113,8,48,0.142857142857143,8,51,0.135593220338983,12,55,0.17910447761194,12,58,0.171428571428571,12,80,0.130434782608696,14,95,0.128440366972477,24,114,0.173913043478261,26,147,0.15028901734104,36,177,0.169014084507042,46,211,0.178988326848249,50,225,0.181818181818182
"5098","79630010","79630010-2012-12-04",20,70,2012-12-04,"HA1",2012,"F","Adult",1,0,0,1,0,0,9,0,0,17,0,0,22,0,3,40,0.0697674418604651,4,49,0.0754716981132075,4,55,0.0677966101694915,7,71,0.0897435897435897,8,82,0.0888888888888889,8,84,0.0869565217391304,17,103,0.141666666666667,26,130,0.166666666666667,32,163,0.164102564102564,44,195,0.184100418410042,51,220,0.188191881918819,53,231,0.186619718309859,53,232,0.185964912280702
"5140","79783063","79783063-2012-12-06",100,90,2012-12-06,"HA1",2012,"F","Adult",0,1,4,4,0.5,5,14,0.263157894736842,8,21,0.275862068965517,10,28,0.263157894736842,13,35,0.270833333333333,13,37,0.26,14,40,0.259259259259259,17,46,0.26984126984127,17,50,0.253731343283582,20,52,0.277777777777778,27,70,0.278350515463918,30,83,0.265486725663717,34,102,0.25,42,120,0.259259259259259,45,155,0.225,48,187,0.204255319148936,51,208,0.196911196911197
"5156","79638027","79638027-2012-12-19",0,20,2012-12-19,"HA1",2012,"M","Adult",0,0,0,4,0,0,15,0,2,22,0.0833333333333333,5,26,0.161290322580645,7,36,0.162790697674419,7,41,0.145833333333333,7,43,0.14,7,46,0.132075471698113,7,51,0.120689655172414,8,55,0.126984126984127,12,69,0.148148148148148,12,88,0.12,15,109,0.120967741935484,25,137,0.154320987654321,31,171,0.153465346534653,40,194,0.170940170940171,49,220,0.182156133828996
"5160","79631608","79631608-2012-12-19",30,100,2012-12-19,"HA1",2012,"F","Adult",1,0,3,5,0.375,3,15,0.166666666666667,3,18,0.142857142857143,5,24,0.172413793103448,6,34,0.15,6,42,0.125,7,50,0.12280701754386,11,60,0.154929577464789,11,65,0.144736842105263,13,71,0.154761904761905,22,92,0.192982456140351,22,109,0.16793893129771,28,137,0.16969696969697,41,164,0.2,48,188,0.203389830508475,52,211,0.197718631178707,57,237,0.193877551020408
"5201","79623028","79623028-2012-12-18",0,100,2012-12-18,"HA1",2012,"M","Adult",1,0,0,3,0,1,13,0.0714285714285714,1,17,0.0555555555555556,1,22,0.0434782608695652,1,28,0.0344827586206897,1,29,0.0333333333333333,4,35,0.102564102564103,4,41,0.0888888888888889,4,44,0.0833333333333333,4,49,0.0754716981132075,5,64,0.072463768115942,10,80,0.111111111111111,15,96,0.135135135135135,21,116,0.153284671532847,25,145,0.147058823529412,39,180,0.178082191780822,52,208,0.2
"5202","52826884","52826884-2012-12-18",10,100,2012-12-18,"HA1",2012,"M","Adult",0,1,0,4,0,0,14,0,1,21,0.0454545454545455,4,31,0.114285714285714,4,38,0.0952380952380952,4,39,0.0930232558139535,4,44,0.0833333333333333,4,49,0.0754716981132075,4,52,0.0714285714285714,5,54,0.0847457627118644,7,72,0.0886075949367089,15,89,0.144230769230769,21,106,0.165354330708661,23,130,0.150326797385621,34,166,0.17,49,202,0.195219123505976,54,219,0.197802197802198
"5211","79783063","79783063-2012-12-19",100,90,2012-12-19,"HA1",2012,"F","Adult",0,0,5,4,0.555555555555556,6,14,0.3,9,21,0.3,11,28,0.282051282051282,14,35,0.285714285714286,14,37,0.274509803921569,16,40,0.285714285714286,19,46,0.292307692307692,19,50,0.27536231884058,22,52,0.297297297297297,29,70,0.292929292929293,32,83,0.278260869565217,36,102,0.260869565217391,44,120,0.268292682926829,47,155,0.232673267326733,51,187,0.214285714285714,54,209,0.20532319391635
"5212","79786569","79786569-2012-12-19",50,50,2012-12-19,"HA1",2012,"M","Adult",0,0,0,1,0,0,4,0,3,7,0.3,8,12,0.4,11,20,0.354838709677419,13,23,0.361111111111111,13,33,0.282608695652174,14,55,0.202898550724638,15,64,0.189873417721519,16,67,0.192771084337349,32,126,0.20253164556962,47,204,0.187250996015936,57,233,0.196551724137931,59,243,0.195364238410596,59,243,0.195364238410596,59,243,0.195364238410596,59,243,0.195364238410596
