"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","EhungINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7248","79638837","79638837-2012-10-23",100,90,2012-10-23,"HA1",2012,"M","Adult",0,0,2,4,0.333333333333333,5,15,0.25,6,23,0.206896551724138,9,31,0.225,12,49,0.19672131147541,12,52,0.1875,14,63,0.181818181818182,14,76,0.155555555555556,15,85,0.15,16,90,0.150943396226415,25,128,0.163398692810458,29,154,0.158469945355191,36,186,0.162162162162162,49,233,0.173758865248227,60,293,0.169971671388102,75,355,0.174418604651163,81,405,0.166666666666667
"7249","79638837","79638837-2012-11-06",90,90,2012-11-06,"HA1",2012,"M","Adult",0,0,1,2,0.333333333333333,5,25,0.166666666666667,8,47,0.145454545454545,12,63,0.16,14,81,0.147368421052632,14,86,0.14,14,98,0.125,16,116,0.121212121212121,16,127,0.111888111888112,18,131,0.120805369127517,30,160,0.157894736842105,39,200,0.163179916317992,50,245,0.169491525423729,65,317,0.170157068062827,85,393,0.177824267782427,96,471,0.169312169312169,100,509,0.164203612479475
"7260","79639272","79639272-2012-10-10",0,90,2012-10-10,"HA1",2012,"M","Adult",0,0,1,5,0.166666666666667,4,23,0.148148148148148,9,32,0.219512195121951,11,36,0.234042553191489,16,47,0.253968253968254,17,50,0.253731343283582,17,56,0.232876712328767,23,66,0.258426966292135,24,73,0.247422680412371,25,79,0.240384615384615,32,113,0.220689655172414,36,149,0.194594594594595,45,191,0.190677966101695,49,241,0.168965517241379,58,293,0.165242165242165,64,344,0.156862745098039,72,373,0.161797752808989
"7261","79639272","79639272-2012-10-23",0,80,2012-10-23,"HA1",2012,"M","Adult",0,0,0,5,0,7,20,0.259259259259259,13,32,0.288888888888889,14,47,0.229508196721311,18,62,0.225,20,71,0.21978021978022,20,76,0.208333333333333,20,83,0.194174757281553,27,101,0.2109375,29,108,0.211678832116788,36,152,0.191489361702128,41,190,0.177489177489178,49,238,0.170731707317073,57,305,0.157458563535912,63,359,0.149289099526066,72,411,0.149068322981366,80,441,0.153550863723608
"7263","79639272","79639272-2012-11-20",10,90,2012-11-20,"HA1",2012,"M","Adult",0,0,2,10,0.166666666666667,8,31,0.205128205128205,10,55,0.153846153846154,16,68,0.19047619047619,26,92,0.220338983050847,26,96,0.213114754098361,30,105,0.222222222222222,36,128,0.219512195121951,38,133,0.222222222222222,39,139,0.219101123595506,46,186,0.198275862068966,57,246,0.188118811881188,62,307,0.168021680216802,71,396,0.15203426124197,83,486,0.145869947275923,97,567,0.146084337349398,102,594,0.146551724137931
"7277","79639579","79639579-2012-08-14",80,100,2012-08-14,"HA1",2012,"F","Adult",1,1,0,4,0,1,10,0.0909090909090909,1,12,0.0769230769230769,1,16,0.0588235294117647,1,20,0.0476190476190476,1,23,0.0416666666666667,1,25,0.0384615384615385,2,30,0.0625,3,31,0.0882352941176471,3,31,0.0882352941176471,4,38,0.0952380952380952,6,44,0.12,6,55,0.0983606557377049,10,81,0.10989010989011,11,96,0.102803738317757,14,113,0.110236220472441,16,123,0.115107913669065
"7321","79769626","79769626-2012-10-09",40,80,2012-10-09,"HA1",2012,"F","Adult",1,0,1,1,0.5,3,6,0.333333333333333,4,12,0.25,6,24,0.2,12,47,0.203389830508475,17,63,0.2125,21,71,0.228260869565217,29,98,0.228346456692913,33,121,0.214285714285714,34,131,0.206060606060606,48,199,0.194331983805668,54,247,0.179401993355482,61,284,0.176811594202899,68,327,0.172151898734177,72,374,0.161434977578475,75,382,0.164113785557987,75,382,0.164113785557987
"7322","79769830","79769830-2012-09-11",90,40,2012-09-11,"HA1",2012,"F","Adult",0,1,0,1,0,0,7,0,2,16,0.111111111111111,2,17,0.105263157894737,5,25,0.166666666666667,5,28,0.151515151515152,6,33,0.153846153846154,8,44,0.153846153846154,10,51,0.163934426229508,12,57,0.173913043478261,15,78,0.161290322580645,17,103,0.141666666666667,21,133,0.136363636363636,26,163,0.137566137566138,33,203,0.139830508474576,37,235,0.136029411764706,39,239,0.140287769784173
"7328","79770053","79770053-2012-10-25",10,20,2012-10-25,"HA1",2012,"M","Adult",0,0,0,7,0,2,40,0.0476190476190476,6,66,0.0833333333333333,9,80,0.101123595505618,11,110,0.0909090909090909,12,125,0.0875912408759124,12,134,0.0821917808219178,14,148,0.0864197530864197,15,157,0.0872093023255814,17,165,0.0934065934065934,32,210,0.132231404958678,41,243,0.144366197183099,50,289,0.147492625368732,57,348,0.140740740740741,72,425,0.144869215291751,86,499,0.147008547008547,92,524,0.149350649350649
"7343","79770535","79770535-2012-08-30",100,10,2012-08-30,"HA1",2012,"F","NotAdult",0,0,2,2,0.5,4,6,0.4,4,6,0.4,5,13,0.277777777777778,5,19,0.208333333333333,5,22,0.185185185185185,5,25,0.166666666666667,6,27,0.181818181818182,6,29,0.171428571428571,6,29,0.171428571428571,9,35,0.204545454545455,12,45,0.210526315789474,15,71,0.174418604651163,17,90,0.158878504672897,20,124,0.138888888888889,25,165,0.131578947368421,28,193,0.126696832579186
"7345","79770603","79770603-2012-08-29",30,90,2012-08-29,"HA1",2012,"M","NotAdult",0,0,0,0,NA,0,4,0,1,4,0.2,3,10,0.230769230769231,6,18,0.25,7,22,0.241379310344828,7,27,0.205882352941176,10,35,0.222222222222222,12,38,0.24,12,44,0.214285714285714,14,71,0.164705882352941,20,93,0.176991150442478,21,116,0.153284671532847,23,146,0.136094674556213,25,163,0.132978723404255,30,189,0.136986301369863,32,194,0.141592920353982
"7346","79770603","79770603-2012-09-11",40,100,2012-09-11,"HA1",2012,"M","Adult",0,1,0,3,0,0,12,0,1,14,0.0666666666666667,3,18,0.142857142857143,4,21,0.16,4,24,0.142857142857143,4,31,0.114285714285714,5,41,0.108695652173913,8,46,0.148148148148148,10,54,0.15625,18,90,0.166666666666667,21,117,0.152173913043478,27,139,0.162650602409639,27,160,0.144385026737968,29,186,0.134883720930233,34,213,0.137651821862348,39,238,0.140794223826715
