"","estbrm","lowerCIestbrm","upperCIestbrm"
"1",2.5011445226252,-5.05605864340743,9.88722485181584
"2",2.5011445226252,-5.05605864340743,9.88722485181584
"3",3.63312685297285,-4.83123249714579,11.7402165262065
"4",3.8119195120943,-4.97502438354679,12.5063413407148
"5",3.40694658128562,-5.7326053823771,12.3843882996208
"6",4.32402240184048,-4.63609555534116,13.5745040328931
"7",3.58970381365571,-6.07409520223019,13.2811906037491
"8",2.48118404682573,-7.59127777524821,12.8188749333016
"9",0.488918423845248,-9.7277122010308,10.885110150623
"10",-0.96814024598574,-11.4258294974526,9.15570845562497
"11",-3.78784588849185,-16.1590919894362,8.7117461714346
"12",-4.61380531288162,-18.3307497663116,9.01525267728733
"13",-5.65374306968209,-20.8907216336951,9.79625223196875
"14",-6.64306256001528,-23.4483497336973,9.92720090949609
"15",-6.798121034847,-25.2206756790997,11.7424409758119
"16",-7.04526607166626,-25.8347481620653,11.5453139621397
"17",0.002870690374951,-8.6637920177365,8.53326604674992
