"","estbrm","lowerCIestbrm","upperCIestbrm"
"1",-5.40920345301477,-12.7431716379441,1.79319997146415
"2",-5.40920345301477,-12.7431716379441,1.79319997146415
"3",-7.27917529192736,-17.0015637248344,2.88674575971491
"4",-1.38276870020999,-11.9184357732211,9.53919783960168
"5",-0.283526110848951,-9.92702482863886,9.27771733514559
"6",-1.36936450995002,-10.7685601998732,7.83674382168615
"7",-0.0115956820693182,-10.0095813799702,10.2228637852173
"8",0.558933288006818,-10.5131619027919,11.6062035448902
"9",0.614190110569718,-11.5378546387978,12.6373848452122
"10",-0.12764051723608,-13.0757038857361,12.6527638762556
"11",-0.341356902895194,-14.4802908104945,13.7395278833905
"12",0.155063461500844,-15.0501703607985,15.8283544250274
"13",0.197540190674571,-16.662741745183,17.1018230580377
"14",0.446608947129317,-16.8004296516115,17.7998501032078
"15",-0.5240137453394,-16.9245198552198,16.0878116141404
"16",-1.07209383275778,-17.392627030148,14.8901937544137
"17",-1.33567555732851,-17.4084498358,14.6167243028233
