"","estbrm","lowerCIestbrm","upperCIestbrm"
"1",0.867922583325066,-2.1410299279786,4.31580483980041
"2",0.867922583325066,-2.1410299279786,4.31580483980041
"3",1.18004774100824,-2.20638987708018,5.05890088625781
"4",0.336699292792399,-4.00624857748204,4.6645713163341
"5",1.86953697154532,-2.87146366957228,7.05923365627412
"6",1.76434768779428,-4.05764927723586,7.94754117296403
"7",0.592300262295949,-5.78626432632608,6.98094670118115
"8",-0.92565195328698,-8.34027944766007,6.3054267067925
"9",-0.600674742018613,-8.44379935489625,7.01319267525774
"10",0.693034996222901,-7.05355517441242,9.03058411208554
"11",-3.60568895751369,-12.7027286058745,5.52769256971648
"12",-7.68225026070036,-17.7593304290098,1.82622833962458
"13",-8.4181588272135,-20.1591541443355,3.28139010927312
"14",-5.18266455173545,-17.5433811088482,6.78463045305824
"15",-1.13627327264488,-14.8187114803333,12.1343057152875
"16",1.97798425412857,-11.9949735411212,15.8714282475342
"17",0.002870690374951,-8.6637920177365,8.53326604674992
