"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","Tryps","HpolINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7052","79630102","79630102-2012-09-11",20,100,2012-09-11,"HA1",2012,"M","Adult",0,"0",1,2,0.333333333333333,3,7,0.3,5,11,0.3125,7,15,0.318181818181818,8,22,0.266666666666667,8,24,0.25,11,27,0.289473684210526,16,32,0.333333333333333,17,34,0.333333333333333,18,40,0.310344827586207,26,50,0.342105263157895,35,68,0.339805825242718,39,91,0.3,43,116,0.270440251572327,49,144,0.253886010362694,52,163,0.241860465116279,57,184,0.236514522821577
"7076","79630840","79630840-2012-10-09",70,70,2012-10-09,"HA1",2012,"F","NotAdult",1,"0",0,3,0,1,10,0.0909090909090909,3,20,0.130434782608696,7,33,0.175,14,52,0.212121212121212,15,59,0.202702702702703,17,66,0.204819277108434,23,91,0.201754385964912,25,112,0.182481751824818,27,113,0.192857142857143,42,161,0.206896551724138,55,204,0.212355212355212,67,249,0.212025316455696,78,297,0.208,81,322,0.200992555831266,83,337,0.197619047619048,83,337,0.197619047619048
"7082","79631608","79631608-2012-12-19",30,100,2012-12-19,"HA1",2012,"F","Adult",0,"1",3,13,0.1875,6,33,0.153846153846154,6,38,0.136363636363636,10,53,0.158730158730159,16,73,0.179775280898876,19,86,0.180952380952381,25,106,0.190839694656489,33,128,0.204968944099379,39,146,0.210810810810811,43,158,0.213930348258706,70,228,0.23489932885906,83,283,0.226775956284153,104,345,0.23162583518931,127,419,0.232600732600733,142,488,0.225396825396825,166,565,0.227086183310534,178,612,0.225316455696203
"7091","79632292","79632292-2012-09-13",100,10,2012-09-13,"HA1",2012,"M","Adult",0,"1",1,4,0.2,3,8,0.272727272727273,4,9,0.307692307692308,5,16,0.238095238095238,7,22,0.241379310344828,9,23,0.28125,10,25,0.285714285714286,10,31,0.24390243902439,11,32,0.255813953488372,11,32,0.255813953488372,12,41,0.226415094339623,17,57,0.22972972972973,21,84,0.2,25,111,0.183823529411765,36,143,0.201117318435754,46,188,0.196581196581197,59,214,0.216117216117216
"7190","79637279","79637279-2012-09-12",0,100,2012-09-12,"HA1",2012,"M","Adult",0,"0",1,3,0.25,2,9,0.181818181818182,4,12,0.25,5,17,0.227272727272727,6,21,0.222222222222222,6,22,0.214285714285714,7,26,0.212121212121212,10,31,0.24390243902439,11,34,0.244444444444444,13,38,0.254901960784314,22,46,0.323529411764706,28,63,0.307692307692308,35,79,0.307017543859649,39,110,0.261744966442953,47,137,0.255434782608696,53,172,0.235555555555556,58,196,0.228346456692913
"7191","79637279","79637279-2012-09-27",0,80,2012-09-27,"HA1",2012,"M","Adult",0,"0",0,2,0,1,14,0.0666666666666667,6,24,0.2,8,31,0.205128205128205,12,40,0.230769230769231,14,48,0.225806451612903,16,48,0.25,18,52,0.257142857142857,19,66,0.223529411764706,19,68,0.218390804597701,29,94,0.235772357723577,33,117,0.22,37,148,0.2,50,187,0.210970464135021,58,219,0.209386281588448,64,247,0.205787781350482,65,262,0.198776758409786
"7243","79638791","79638791-2012-08-30",90,80,2012-08-30,"HA1",2012,"M","Adult",1,"0",0,2,0,3,13,0.1875,4,21,0.16,4,24,0.142857142857143,7,32,0.179487179487179,8,37,0.177777777777778,8,39,0.170212765957447,10,41,0.196078431372549,11,48,0.186440677966102,12,49,0.19672131147541,15,56,0.211267605633803,18,73,0.197802197802198,26,87,0.230088495575221,33,108,0.234042553191489,43,129,0.25,50,153,0.246305418719212,53,164,0.244239631336406
"7247","79638837","79638837-2012-10-09",100,80,2012-10-09,"HA1",2012,"M","Adult",0,"0",1,7,0.125,1,19,0.05,4,25,0.137931034482759,5,28,0.151515151515152,6,42,0.125,9,48,0.157894736842105,9,49,0.155172413793103,10,60,0.142857142857143,12,68,0.15,12,75,0.137931034482759,21,102,0.170731707317073,31,119,0.206666666666667,37,147,0.201086956521739,51,174,0.226666666666667,58,222,0.207142857142857,70,266,0.208333333333333,78,304,0.204188481675393
"7248","79638837","79638837-2012-10-23",100,90,2012-10-23,"HA1",2012,"M","Adult",0,"0",0,5,0,2,16,0.111111111111111,2,25,0.0740740740740741,3,35,0.0789473684210526,8,50,0.137931034482759,8,53,0.131147540983607,9,64,0.123287671232877,10,76,0.116279069767442,11,81,0.119565217391304,13,84,0.134020618556701,17,125,0.119718309859155,27,143,0.158823529411765,35,171,0.169902912621359,44,215,0.16988416988417,61,264,0.187692307692308,72,323,0.182278481012658,81,363,0.182432432432432
"7260","79639272","79639272-2012-10-10",0,90,2012-10-10,"HA1",2012,"M","Adult",1,"0",0,6,0,5,20,0.2,7,30,0.189189189189189,7,36,0.162790697674419,11,47,0.189655172413793,12,50,0.193548387096774,13,54,0.194029850746269,16,66,0.195121951219512,19,71,0.211111111111111,22,74,0.229166666666667,27,103,0.207692307692308,38,129,0.227544910179641,40,176,0.185185185185185,49,217,0.184210526315789,63,260,0.195046439628483,71,307,0.187830687830688,76,336,0.184466019417476
