"","estbrm","lowerCIestbrm","upperCIestbrm"
"1",0.258064390979808,-2.07160171705195,2.60321883807398
"2",0.258064390979808,-2.07160171705195,2.60321883807398
"3",-1.01483552172962,-3.2484119602188,1.20804444851706
"4",-1.54736921784851,-3.47266846634472,0.413511208357371
"5",-1.13928622703806,-3.62221231701741,1.39232462919176
"6",-0.434269989836726,-3.47291805048972,2.60457409230823
"7",-0.486888269006781,-3.3324641461065,2.38800282397929
"8",0.0874587506516839,-3.09772290931539,3.21667943581289
"9",-0.439134949598214,-3.1385749517396,2.30170551324665
"10",-0.22339368454638,-2.88925509589607,2.46996815115729
"11",-0.00519726426082307,-3.26913844713654,3.15814432264736
"12",2.35484560043489,-2.67046280371696,7.5140600462918
"13",1.80804411574451,-5.00918117153227,8.65688844436295
"14",0.377336121231887,-7.84424050251686,8.60078743727844
"15",-0.749861511350484,-8.37945067607516,7.06154371752623
"16",-0.00484129591338302,-8.46051855902965,8.51860098081623
"17",0.002870690374951,-8.6637920177365,8.53326604674992
