"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","MHV","Tryps","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4333","67123054","67123054-2012-08-16",80,90,2012-08-16,"HA1",2012,"M","Adult",0,0,0,1,0,2,6,0.25,2,11,0.153846153846154,2,14,0.125,2,23,0.08,2,24,0.0769230769230769,2,25,0.0740740740740741,2,27,0.0689655172413793,2,30,0.0625,2,32,0.0588235294117647,2,35,0.0540540540540541,3,40,0.0697674418604651,4,52,0.0714285714285714,4,63,0.0597014925373134,4,71,0.0533333333333333,5,79,0.0595238095238095,5,89,0.0531914893617021
"4367","79796354","79796354-2012-08-28",10,0,2012-08-28,"HA1",2012,"M","Adult",0,0,0,2,0,0,10,0,0,10,0,1,11,0.0833333333333333,1,15,0.0625,1,16,0.0588235294117647,1,17,0.0555555555555556,1,17,0.0555555555555556,1,19,0.05,1,20,0.0476190476190476,1,26,0.037037037037037,2,37,0.0512820512820513,2,43,0.0444444444444444,3,53,0.0535714285714286,3,58,0.0491803278688525,3,66,0.0434782608695652,3,76,0.0379746835443038
"4373","79786360","79786360-2012-08-28",30,10,2012-08-28,"HA1",2012,"F","NotAdult",0,1,0,0,NA,0,1,0,0,5,0,0,11,0,1,15,0.0625,1,16,0.0588235294117647,1,17,0.0555555555555556,1,25,0.0384615384615385,2,28,0.0666666666666667,2,31,0.0606060606060606,2,40,0.0476190476190476,3,49,0.0576923076923077,3,55,0.0517241379310345,3,62,0.0461538461538462,3,72,0.04,3,91,0.0319148936170213,5,95,0.05
"4376","79639579","79639579-2012-08-14",80,100,2012-08-14,"HA1",2012,"F","Adult",0,1,1,2,0.333333333333333,1,6,0.142857142857143,1,7,0.125,1,10,0.0909090909090909,1,13,0.0714285714285714,1,16,0.0588235294117647,1,16,0.0588235294117647,1,19,0.05,1,21,0.0454545454545455,1,21,0.0454545454545455,1,26,0.037037037037037,1,30,0.032258064516129,1,34,0.0285714285714286,2,47,0.0408163265306122,2,52,0.037037037037037,2,59,0.0327868852459016,3,63,0.0454545454545455
"4379","79786360","79786360-2012-08-15",20,0,2012-08-15,"HA1",2012,"F","NotAdult",0,0,0,0,NA,0,2,0,0,8,0,0,10,0,1,11,0.0833333333333333,1,16,0.0588235294117647,1,16,0.0588235294117647,1,17,0.0555555555555556,1,17,0.0555555555555556,1,19,0.05,2,29,0.0645161290322581,2,37,0.0512820512820513,3,40,0.0697674418604651,3,49,0.0576923076923077,3,55,0.0517241379310345,3,63,0.0454545454545455,3,73,0.0394736842105263
"4381","67010536","67010536-2012-08-15",50,20,2012-08-15,"HA1",2012,"M","Adult",0,0,0,0,NA,0,3,0,1,4,0.2,1,5,0.166666666666667,1,8,0.111111111111111,1,12,0.0769230769230769,1,13,0.0714285714285714,2,16,0.111111111111111,2,21,0.0869565217391304,3,22,0.12,3,44,0.0638297872340425,3,52,0.0545454545454545,3,57,0.05,3,68,0.0422535211267606,5,82,0.0574712643678161,5,83,0.0568181818181818,5,83,0.0568181818181818
"4384","66843623","66843623-2012-08-15",100,80,2012-08-15,"HA1",2012,"M","NotAdult",0,0,0,4,0,0,6,0,0,7,0,0,8,0,0,10,0,2,12,0.142857142857143,2,12,0.142857142857143,2,15,0.117647058823529,2,19,0.0952380952380952,2,19,0.0952380952380952,2,30,0.0625,3,34,0.0810810810810811,4,38,0.0952380952380952,4,46,0.08,4,59,0.0634920634920635,4,65,0.0579710144927536,5,71,0.0657894736842105
"4390","49811771","49811771-2012-08-28",40,0,2012-08-28,"HA1",2012,"F","Adult",1,0,0,0,NA,0,0,NA,0,0,NA,0,4,0,0,6,0,0,8,0,0,13,0,0,19,0,2,21,0.0869565217391304,2,24,0.0769230769230769,3,36,0.0769230769230769,3,43,0.0652173913043478,3,54,0.0526315789473684,3,59,0.0483870967741935,3,64,0.0447761194029851,3,79,0.0365853658536585,5,94,0.0505050505050505
"4393","79797834","79797834-2012-08-28",60,80,2012-08-28,"HA1",2012,"F","NotAdult",0,0,0,0,NA,0,3,0,0,6,0,0,12,0,0,18,0,2,20,0.0909090909090909,2,22,0.0833333333333333,2,25,0.0740740740740741,2,31,0.0606060606060606,2,36,0.0526315789473684,3,52,0.0545454545454545,4,60,0.0625,4,69,0.0547945205479452,5,77,0.0609756097560976,5,92,0.0515463917525773,5,95,0.05,5,95,0.05
"4397","79779379","79779379-2012-08-28",100,20,2012-08-28,"HA1",2012,"M","Adult",0,0,0,1,0,0,3,0,0,4,0,0,4,0,1,6,0.142857142857143,1,7,0.125,1,7,0.125,1,9,0.1,1,14,0.0666666666666667,1,15,0.0625,2,21,0.0869565217391304,2,34,0.0555555555555556,2,40,0.0476190476190476,2,50,0.0384615384615385,5,66,0.0704225352112676,5,81,0.0581395348837209,5,90,0.0526315789473684
"4407","79770535","79770535-2012-08-30",100,10,2012-08-30,"HA1",2012,"F","NotAdult",0,0,0,1,0,0,4,0,0,4,0,0,6,0,0,7,0,1,8,0.111111111111111,1,9,0.1,1,12,0.0769230769230769,1,13,0.0714285714285714,1,13,0.0714285714285714,2,20,0.0909090909090909,2,24,0.0769230769230769,3,41,0.0681818181818182,3,50,0.0566037735849057,4,72,0.0526315789473684,7,91,0.0714285714285714,7,103,0.0636363636363636
"4409","79638791","79638791-2012-08-30",90,80,2012-08-30,"HA1",2012,"M","Adult",1,1,0,2,0,0,12,0,0,16,0,0,17,0,3,21,0.125,3,24,0.111111111111111,3,26,0.103448275862069,3,30,0.0909090909090909,3,36,0.0769230769230769,3,38,0.0731707317073171,3,44,0.0638297872340425,5,52,0.087719298245614,5,64,0.072463768115942,5,76,0.0617283950617284,5,89,0.0531914893617021,7,101,0.0648148148148148,7,111,0.0593220338983051
"4421","79623797","79623797-2012-08-30",10,40,2012-08-30,"HA1",2012,"M","Adult",0,0,0,2,0,0,5,0,0,6,0,1,8,0.111111111111111,1,19,0.05,1,20,0.0476190476190476,1,29,0.0333333333333333,1,34,0.0285714285714286,2,36,0.0526315789473684,2,42,0.0454545454545455,2,48,0.04,3,59,0.0483870967741935,3,71,0.0405405405405405,5,85,0.0555555555555556,5,99,0.0480769230769231,7,114,0.0578512396694215,7,115,0.0573770491803279
"4424","79797893","79797893-2012-08-30",0,30,2012-08-30,"HA1",2012,"M","Adult",0,0,0,0,NA,0,5,0,1,8,0.111111111111111,1,9,0.1,1,18,0.0526315789473684,1,19,0.05,1,21,0.0454545454545455,1,26,0.037037037037037,2,32,0.0588235294117647,2,33,0.0571428571428571,2,42,0.0454545454545455,3,49,0.0576923076923077,3,59,0.0483870967741935,4,73,0.051948051948052,4,83,0.0459770114942529,5,97,0.0490196078431373,7,107,0.0614035087719298
"4462","79788371","79788371-2012-09-11",10,0,2012-09-11,"HA1",2012,"M","Adult",0,0,0,3,0,0,11,0,0,12,0,1,14,0.0666666666666667,2,19,0.0952380952380952,2,20,0.0909090909090909,2,22,0.0833333333333333,2,23,0.08,2,25,0.0740740740740741,2,28,0.0666666666666667,2,35,0.0540540540540541,3,48,0.0588235294117647,3,58,0.0491803278688525,4,70,0.0540540540540541,4,78,0.0487804878048781,5,93,0.0510204081632653,6,108,0.0526315789473684
"4465","49811771","49811771-2012-09-11",20,50,2012-09-11,"HA1",2012,"F","Adult",0,0,0,0,NA,0,6,0,0,10,0,0,14,0,0,23,0,0,25,0,0,29,0,1,34,0.0285714285714286,1,39,0.025,1,41,0.0238095238095238,4,66,0.0571428571428571,4,87,0.043956043956044,6,95,0.0594059405940594,9,111,0.075,9,129,0.0652173913043478,9,129,0.0652173913043478,9,129,0.0652173913043478
"4469","79797359","79797359-2012-09-11",20,50,2012-09-11,"HA1",2012,"F","Adult",0,0,0,0,NA,0,6,0,0,10,0,0,14,0,0,23,0,0,25,0,0,29,0,1,34,0.0285714285714286,1,39,0.025,1,41,0.0238095238095238,4,66,0.0571428571428571,4,87,0.043956043956044,6,95,0.0594059405940594,9,111,0.075,9,129,0.0652173913043478,9,129,0.0652173913043478,9,129,0.0652173913043478
"4471","79797266","79797266-2012-09-11",20,30,2012-09-11,"HA1",2012,"F","NotAdult",0,0,0,0,NA,0,4,0,1,10,0.0909090909090909,1,12,0.0769230769230769,2,29,0.0645161290322581,2,32,0.0588235294117647,2,35,0.0540540540540541,2,41,0.0465116279069767,2,46,0.0416666666666667,3,48,0.0588235294117647,3,61,0.046875,4,70,0.0540540540540541,5,84,0.0561797752808989,6,101,0.0560747663551402,7,118,0.056,9,129,0.0652173913043478,9,129,0.0652173913043478
"4474","66859820","66859820-2012-09-11",60,50,2012-09-11,"HA1",2012,"M","Adult",0,0,0,1,0,0,6,0,0,7,0,1,12,0.0769230769230769,1,17,0.0555555555555556,2,18,0.1,2,25,0.0740740740740741,2,29,0.0645161290322581,2,34,0.0555555555555556,2,36,0.0526315789473684,5,69,0.0675675675675676,8,103,0.0720720720720721,8,121,0.062015503875969,9,129,0.0652173913043478,9,129,0.0652173913043478,9,129,0.0652173913043478,9,129,0.0652173913043478
"4476","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",0,1,0,0,NA,1,2,0.333333333333333,1,4,0.2,1,10,0.0909090909090909,2,18,0.1,2,20,0.0909090909090909,2,23,0.08,2,25,0.0740740740740741,2,27,0.0689655172413793,2,29,0.0645161290322581,2,39,0.0487804878048781,3,51,0.0555555555555556,5,68,0.0684931506849315,8,95,0.0776699029126214,8,116,0.0645161290322581,8,125,0.0601503759398496,9,128,0.0656934306569343
"4477","79769830","79769830-2012-09-11",90,40,2012-09-11,"HA1",2012,"F","Adult",1,0,0,0,NA,0,3,0,1,7,0.125,1,7,0.125,1,11,0.0833333333333333,1,11,0.0833333333333333,1,14,0.0666666666666667,2,20,0.0909090909090909,2,26,0.0714285714285714,3,30,0.0909090909090909,3,48,0.0588235294117647,4,62,0.0606060606060606,7,76,0.0843373493975904,7,91,0.0714285714285714,8,113,0.0661157024793388,8,127,0.0592592592592593,9,129,0.0652173913043478
"4480","66808052","66808052-2012-09-11",100,10,2012-09-11,"HA1",2012,"M","Adult",0,0,0,2,0,0,5,0,0,6,0,0,8,0,0,9,0,1,10,0.0909090909090909,1,11,0.0833333333333333,1,14,0.0666666666666667,1,16,0.0588235294117647,1,16,0.0588235294117647,2,24,0.0769230769230769,2,28,0.0666666666666667,3,46,0.0612244897959184,4,56,0.0666666666666667,5,78,0.0602409638554217,8,99,0.0747663551401869,8,114,0.0655737704918033
"4482","79637279","79637279-2012-09-12",0,100,2012-09-12,"HA1",2012,"M","Adult",0,0,0,2,0,1,6,0.142857142857143,1,7,0.125,1,10,0.0909090909090909,1,13,0.0714285714285714,1,14,0.0666666666666667,1,18,0.0526315789473684,1,23,0.0416666666666667,1,24,0.04,1,28,0.0344827586206897,1,34,0.0285714285714286,1,48,0.0204081632653061,2,63,0.0307692307692308,6,82,0.0681818181818182,7,96,0.0679611650485437,11,118,0.0852713178294574,13,136,0.087248322147651
"4484","79630010","79630010-2012-09-12",40,80,2012-09-12,"HA1",2012,"F","Adult",0,0,0,0,NA,0,4,0,0,6,0,0,11,0,0,19,0,0,30,0,0,35,0,1,46,0.0212765957446809,1,55,0.0178571428571429,1,58,0.0169491525423729,6,85,0.0659340659340659,8,105,0.0707964601769911,11,118,0.0852713178294574,14,132,0.0958904109589041,14,149,0.0858895705521472,14,153,0.0838323353293413,14,153,0.0838323353293413
"4493","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",0,0,0,3,0,0,10,0,0,11,0,0,15,0,0,19,0,0,25,0,0,32,0,1,37,0.0263157894736842,1,42,0.0232558139534884,1,45,0.0217391304347826,4,63,0.0597014925373134,4,76,0.05,7,95,0.0686274509803922,9,113,0.0737704918032787,12,128,0.0857142857142857,14,139,0.0915032679738562,14,156,0.0823529411764706
"4507","79630010","79630010-2012-09-25",10,90,2012-09-25,"HA1",2012,"F","Adult",0,0,0,1,0,1,8,0.111111111111111,1,15,0.0625,1,21,0.0454545454545455,1,28,0.0344827586206897,1,28,0.0344827586206897,1,29,0.0333333333333333,1,37,0.0263157894736842,1,37,0.0263157894736842,1,38,0.0256410256410256,2,57,0.0338983050847458,3,75,0.0384615384615385,5,88,0.0537634408602151,8,112,0.0666666666666667,11,133,0.0763888888888889,14,148,0.0864197530864197,14,156,0.0823529411764706
"4509","79796354","79796354-2012-09-25",10,20,2012-09-25,"HA1",2012,"M","Adult",0,1,1,1,0.5,1,14,0.0666666666666667,2,17,0.105263157894737,3,25,0.107142857142857,5,31,0.138888888888889,5,33,0.131578947368421,5,35,0.125,5,38,0.116279069767442,5,44,0.102040816326531,5,45,0.1,5,62,0.0746268656716418,6,71,0.0779220779220779,7,83,0.0777777777777778,9,101,0.0818181818181818,9,129,0.0652173913043478,11,152,0.0674846625766871,14,163,0.0790960451977401
"4511","67006795","67006795-2012-09-25",20,40,2012-09-25,"HA1",2012,"M","Adult",0,0,0,2,0,1,9,0.1,2,14,0.125,2,23,0.08,3,29,0.09375,3,37,0.075,4,40,0.0909090909090909,5,51,0.0892857142857143,5,53,0.0862068965517241,5,55,0.0833333333333333,6,78,0.0714285714285714,7,94,0.0693069306930693,9,121,0.0692307692307692,10,142,0.0657894736842105,14,163,0.0790960451977401,14,165,0.0782122905027933,14,165,0.0782122905027933
"4517","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",0,0,0,2,0,0,7,0,1,10,0.0909090909090909,1,12,0.0769230769230769,1,20,0.0476190476190476,1,23,0.0416666666666667,1,23,0.0416666666666667,1,25,0.0384615384615385,1,29,0.0333333333333333,1,34,0.0285714285714286,1,47,0.0208333333333333,2,58,0.0333333333333333,3,79,0.0365853658536585,8,96,0.0769230769230769,9,113,0.0737704918032787,9,121,0.0692307692307692,9,126,0.0666666666666667
"4518","79630102","79630102-2012-09-11",20,100,2012-09-11,"HA1",2012,"M","Adult",0,0,0,2,0,0,7,0,0,9,0,0,12,0,1,16,0.0588235294117647,1,16,0.0588235294117647,1,19,0.05,1,23,0.0416666666666667,1,26,0.037037037037037,1,30,0.032258064516129,1,38,0.0256410256410256,4,53,0.0701754385964912,4,66,0.0571428571428571,5,78,0.0602409638554217,7,101,0.0648148148148148,9,110,0.0756302521008403,9,119,0.0703125
"4526","84587833","84587833-2012-09-11",80,60,2012-09-11,"HA1",2012,"F","Adult",0,0,0,0,NA,0,2,0,0,7,0,0,12,0,1,16,0.0588235294117647,1,24,0.04,2,27,0.0689655172413793,3,31,0.0882352941176471,4,39,0.0930232558139535,6,41,0.127659574468085,6,61,0.0895522388059701,6,75,0.0740740740740741,6,87,0.0645161290322581,7,106,0.0619469026548673,9,125,0.0671641791044776,9,129,0.0652173913043478,9,129,0.0652173913043478
"4527","79618812","79618812-2012-09-11",80,60,2012-09-11,"HA1",2012,"M","Adult",0,0,0,0,NA,0,2,0,0,7,0,0,12,0,1,16,0.0588235294117647,1,24,0.04,2,27,0.0689655172413793,3,31,0.0882352941176471,4,39,0.0930232558139535,6,41,0.127659574468085,6,61,0.0895522388059701,6,75,0.0740740740740741,6,87,0.0645161290322581,7,106,0.0619469026548673,9,125,0.0671641791044776,9,129,0.0652173913043478,9,129,0.0652173913043478
"4545","79619290","79619290-2012-09-28",100,80,2012-09-28,"HA1",2012,"M","Adult",0,1,0,6,0,2,11,0.153846153846154,2,16,0.111111111111111,3,17,0.15,3,21,0.125,5,26,0.161290322580645,5,27,0.15625,6,30,0.166666666666667,6,35,0.146341463414634,6,37,0.13953488372093,6,59,0.0923076923076923,7,71,0.0897435897435897,9,83,0.0978260869565217,9,102,0.0810810810810811,10,129,0.0719424460431655,12,150,0.0740740740740741,16,165,0.0883977900552486
"4548","66843623","66843623-2012-09-28",100,90,2012-09-28,"HA1",2012,"M","Adult",0,0,0,2,0,0,9,0,1,12,0.0769230769230769,2,15,0.117647058823529,5,23,0.178571428571429,5,23,0.178571428571429,6,24,0.2,6,28,0.176470588235294,6,31,0.162162162162162,6,34,0.15,6,50,0.107142857142857,6,63,0.0869565217391304,7,77,0.0833333333333333,9,94,0.087378640776699,9,116,0.072,11,143,0.0714285714285714,13,161,0.0747126436781609
"4551","79612036","79612036-2012-09-12",30,30,2012-09-12,"HA1",2012,"M","NotAdult",0,0,1,0,1,1,3,0.25,1,12,0.0769230769230769,2,16,0.111111111111111,5,27,0.15625,5,34,0.128205128205128,6,37,0.13953488372093,6,48,0.111111111111111,6,55,0.0983606557377049,6,56,0.0967741935483871,7,75,0.0853658536585366,8,93,0.0792079207920792,9,108,0.0769230769230769,11,137,0.0743243243243243,14,151,0.0848484848484849,14,153,0.0838323353293413,14,153,0.0838323353293413
"4558","79632292","79632292-2012-09-13",100,10,2012-09-13,"HA1",2012,"M","Adult",1,0,0,3,0,0,6,0,0,7,0,0,9,0,1,11,0.0833333333333333,2,12,0.142857142857143,2,13,0.133333333333333,2,18,0.1,2,20,0.0909090909090909,2,20,0.0909090909090909,3,28,0.0967741935483871,4,37,0.0975609756097561,5,56,0.0819672131147541,8,68,0.105263157894737,9,96,0.0857142857142857,13,123,0.0955882352941176,13,141,0.0844155844155844
"4587","79618628","79618628-2012-09-27",100,50,2012-09-27,"HA1",2012,"M","Adult",0,0,0,0,NA,0,2,0,0,4,0,1,8,0.111111111111111,1,15,0.0625,2,16,0.111111111111111,2,25,0.0740740740740741,3,27,0.1,4,30,0.117647058823529,4,37,0.0975609756097561,6,51,0.105263157894737,8,73,0.0987654320987654,8,89,0.0824742268041237,9,101,0.0818181818181818,11,123,0.082089552238806,14,148,0.0864197530864197,15,165,0.0833333333333333
"4589","79790568","79790568-2012-09-27",90,70,2012-09-27,"HA1",2012,"M","Adult",0,0,0,3,0,2,7,0.222222222222222,2,16,0.111111111111111,2,19,0.0952380952380952,2,24,0.0769230769230769,3,26,0.103448275862069,3,28,0.0967741935483871,5,37,0.119047619047619,5,44,0.102040816326531,5,45,0.1,7,62,0.101449275362319,8,76,0.0952380952380952,8,95,0.0776699029126214,9,122,0.0687022900763359,11,140,0.0728476821192053,15,160,0.0857142857142857,15,168,0.0819672131147541
"4592","79775849","79775849-2012-09-27",90,30,2012-09-27,"HA1",2012,"F","Adult",0,0,0,1,0,1,4,0.2,2,8,0.2,2,11,0.153846153846154,2,18,0.1,2,19,0.0952380952380952,3,22,0.12,3,27,0.1,3,33,0.0833333333333333,3,36,0.0769230769230769,5,48,0.0943396226415094,6,66,0.0833333333333333,8,83,0.0879120879120879,11,111,0.0901639344262295,14,138,0.0921052631578947,14,162,0.0795454545454545,15,166,0.0828729281767956
"4596","79786569","79786569-2012-09-27",60,100,2012-09-27,"HA1",2012,"M","Adult",0,0,0,5,0,0,12,0,1,14,0.0666666666666667,3,20,0.130434782608696,3,26,0.103448275862069,3,28,0.0967741935483871,3,34,0.0810810810810811,3,38,0.0731707317073171,4,40,0.0909090909090909,4,46,0.08,5,68,0.0684931506849315,5,93,0.0510204081632653,7,105,0.0625,10,121,0.0763358778625954,11,134,0.0758620689655172,15,147,0.0925925925925926,15,164,0.0837988826815642
"4598","66866543","66866543-2012-09-27",50,0,2012-09-27,"HA1",2012,"F","NotAdult",0,0,0,1,0,0,3,0,0,3,0,0,9,0,1,13,0.0714285714285714,1,14,0.0666666666666667,1,16,0.0588235294117647,3,19,0.136363636363636,5,24,0.172413793103448,5,30,0.142857142857143,8,51,0.135593220338983,9,79,0.102272727272727,9,91,0.09,9,100,0.0825688073394495,11,119,0.0846153846153846,12,139,0.0794701986754967,15,166,0.0828729281767956
"4608","79637279","79637279-2012-09-27",0,80,2012-09-27,"HA1",2012,"M","Adult",0,0,0,0,NA,1,6,0.142857142857143,1,12,0.0769230769230769,1,18,0.0526315789473684,1,22,0.0434782608695652,1,28,0.0344827586206897,1,29,0.0333333333333333,1,31,0.03125,1,38,0.0256410256410256,1,40,0.024390243902439,2,60,0.032258064516129,3,73,0.0394736842105263,5,92,0.0515463917525773,9,111,0.075,12,133,0.0827586206896552,14,150,0.0853658536585366,15,159,0.0862068965517241
"4612","79786865","79786865-2012-09-28",60,40,2012-09-28,"HA1",2012,"M","Adult",0,1,0,0,NA,1,5,0.166666666666667,1,9,0.1,1,17,0.0555555555555556,2,23,0.08,3,28,0.0967741935483871,3,30,0.0909090909090909,4,38,0.0952380952380952,4,41,0.0888888888888889,4,47,0.0784313725490196,10,95,0.0952380952380952,13,130,0.0909090909090909,15,166,0.0828729281767956,16,179,0.0820512820512821,16,182,0.0808080808080808,16,182,0.0808080808080808,16,182,0.0808080808080808
"4615","79797793","79797793-2012-09-28",0,10,2012-09-28,"HA1",2012,"F","Adult",0,0,0,1,0,0,11,0,2,16,0.111111111111111,3,18,0.142857142857143,3,23,0.115384615384615,3,24,0.111111111111111,4,25,0.137931034482759,5,30,0.142857142857143,6,34,0.15,6,35,0.146341463414634,6,48,0.111111111111111,6,58,0.09375,7,71,0.0897435897435897,8,90,0.0816326530612245,10,111,0.0826446280991736,10,140,0.0666666666666667,12,161,0.069364161849711
"4646","79617035","79617035-2012-10-09",100,0,2012-10-09,"HA1",2012,"F","Adult",0,0,0,0,NA,0,5,0,0,6,0,0,9,0,0,10,0,1,10,0.0909090909090909,1,16,0.0588235294117647,1,18,0.0526315789473684,2,19,0.0952380952380952,2,21,0.0869565217391304,3,31,0.0882352941176471,4,37,0.0975609756097561,6,48,0.111111111111111,9,71,0.1125,12,96,0.111111111111111,16,124,0.114285714285714,18,147,0.109090909090909
"4648","79775849","79775849-2012-10-09",100,40,2012-10-09,"HA1",2012,"F","Adult",0,0,0,1,0,0,5,0,0,8,0,0,11,0,1,15,0.0625,2,17,0.105263157894737,4,24,0.142857142857143,4,31,0.114285714285714,4,32,0.111111111111111,6,38,0.136363636363636,9,61,0.128571428571429,10,73,0.120481927710843,12,93,0.114285714285714,14,113,0.110236220472441,16,134,0.106666666666667,18,164,0.0989010989010989,18,181,0.0904522613065327
"4651","79638837","79638837-2012-10-09",100,80,2012-10-09,"HA1",2012,"M","Adult",0,0,1,6,0.142857142857143,4,14,0.222222222222222,4,19,0.173913043478261,5,20,0.2,5,24,0.172413793103448,7,29,0.194444444444444,7,30,0.189189189189189,8,34,0.19047619047619,8,39,0.170212765957447,8,41,0.163265306122449,8,63,0.112676056338028,10,75,0.117647058823529,12,87,0.121212121212121,12,106,0.101694915254237,13,133,0.089041095890411,15,154,0.0887573964497041,19,169,0.101063829787234
"4652","79619290","79619290-2012-10-09",100,90,2012-10-09,"HA1",2012,"M","Adult",1,1,0,3,0,1,10,0.0909090909090909,2,14,0.125,4,18,0.181818181818182,7,26,0.212121212121212,7,26,0.212121212121212,8,28,0.222222222222222,8,32,0.2,8,35,0.186046511627907,8,38,0.173913043478261,8,54,0.129032258064516,8,67,0.106666666666667,10,81,0.10989010989011,12,98,0.109090909090909,12,120,0.0909090909090909,14,147,0.0869565217391304,16,165,0.0883977900552486
"4654","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",0,0,1,3,0.25,3,15,0.166666666666667,5,22,0.185185185185185,5,24,0.172413793103448,8,32,0.2,8,35,0.186046511627907,8,37,0.177777777777778,8,42,0.16,8,52,0.133333333333333,8,56,0.125,9,69,0.115384615384615,11,81,0.119565217391304,12,100,0.107142857142857,13,124,0.0948905109489051,14,150,0.0853658536585366,19,169,0.101063829787234,19,180,0.0954773869346734
"4661","79630840","79630840-2012-10-09",70,70,2012-10-09,"HA1",2012,"F","NotAdult",0,1,0,1,0,0,1,0,1,8,0.111111111111111,2,15,0.117647058823529,3,30,0.0909090909090909,3,35,0.0789473684210526,5,41,0.108695652173913,9,59,0.132352941176471,9,71,0.1125,9,72,0.111111111111111,11,96,0.102803738317757,13,121,0.0970149253731343,14,145,0.0880503144654088,19,168,0.101604278074866,19,180,0.0954773869346734,19,187,0.0922330097087379,19,187,0.0922330097087379
"4664","79786569","79786569-2012-10-09",60,70,2012-10-09,"HA1",2012,"M","Adult",0,0,0,0,NA,0,5,0,0,8,0,0,12,0,2,23,0.08,2,30,0.0625,3,40,0.0697674418604651,4,51,0.0727272727272727,6,66,0.0833333333333333,9,70,0.113924050632911,12,114,0.0952380952380952,14,133,0.0952380952380952,16,153,0.0946745562130177,19,179,0.095959595959596,19,186,0.0926829268292683,19,187,0.0922330097087379,19,187,0.0922330097087379
"4665","79781605","79781605-2012-10-09",60,40,2012-10-09,"HA1",2012,"F","Adult",0,0,1,0,1,2,5,0.285714285714286,2,9,0.181818181818182,2,17,0.105263157894737,3,23,0.115384615384615,4,28,0.125,4,30,0.117647058823529,5,38,0.116279069767442,5,41,0.108695652173913,5,47,0.0961538461538462,12,97,0.110091743119266,16,133,0.10738255033557,18,171,0.0952380952380952,19,184,0.0935960591133005,19,187,0.0922330097087379,19,187,0.0922330097087379,19,187,0.0922330097087379
"4678","66887847","66887847-2012-10-10",100,40,2012-10-10,"HA1",2012,"M","Adult",0,0,0,2,0,0,6,0,0,9,0,1,12,0.0769230769230769,2,17,0.105263157894737,3,20,0.130434782608696,5,29,0.147058823529412,5,37,0.119047619047619,5,39,0.113636363636364,7,48,0.127272727272727,12,74,0.13953488372093,14,86,0.14,16,108,0.129032258064516,19,131,0.126666666666667,23,153,0.130681818181818,25,185,0.119047619047619,26,204,0.11304347826087
"4685","79792581","79792581-2012-10-11",90,70,2012-10-11,"HA1",2012,"F","Adult",0,0,0,4,0,3,13,0.1875,6,23,0.206896551724138,7,26,0.212121212121212,8,34,0.19047619047619,10,37,0.212765957446809,10,41,0.196078431372549,12,52,0.1875,12,61,0.164383561643836,12,63,0.16,15,84,0.151515151515152,18,103,0.148760330578512,18,126,0.125,20,156,0.113636363636364,22,180,0.108910891089109,27,206,0.11587982832618,27,216,0.111111111111111
"4690","66885846","66885846-2012-10-11",60,20,2012-10-11,"HA1",2012,"M","Adult",0,0,0,2,0,1,6,0.142857142857143,1,7,0.125,3,12,0.2,4,23,0.148148148148148,4,28,0.125,4,31,0.114285714285714,6,40,0.130434782608696,6,48,0.111111111111111,6,56,0.0967741935483871,9,89,0.0918367346938776,13,117,0.1,18,141,0.113207547169811,22,176,0.111111111111111,26,207,0.111587982832618,28,217,0.114285714285714,28,217,0.114285714285714
"4693","67124339","67124339-2012-10-11",0,70,2012-10-11,"HA1",2012,"M","Adult",0,0,0,2,0,0,9,0,0,13,0,2,19,0.0952380952380952,3,26,0.103448275862069,3,29,0.09375,3,34,0.0810810810810811,4,41,0.0888888888888889,4,53,0.0701754385964912,4,55,0.0677966101694915,7,79,0.0813953488372093,9,96,0.0857142857142857,14,124,0.101449275362319,17,143,0.10625,21,165,0.112903225806452,25,189,0.116822429906542,28,208,0.11864406779661
"4718","66808052","66808052-2012-10-09",0,0,2012-10-09,"HA1",2012,"M","Adult",0,1,0,1,0,0,7,0,0,13,0,0,17,0,3,19,0.136363636363636,3,22,0.12,3,24,0.111111111111111,4,25,0.137931034482759,4,27,0.129032258064516,4,29,0.121212121212121,6,42,0.125,6,53,0.101694915254237,7,67,0.0945945945945946,8,80,0.0909090909090909,11,97,0.101851851851852,11,120,0.083969465648855,11,147,0.069620253164557
