"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","MHV","Tryps","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4082","66865371","66865371-2012-06-19",10,10,2012-06-19,"HA1",2012,"M","Adult",1,0,0,2,0,0,3,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,5,0,0,6,0,0,6,0,0,8,0,0,9,0,0,10,0,0,14,0,0,14,0,0,15,0,0,16,0
"4085","52842550","52842550-2012-06-19",50,80,2012-06-19,"HA1",2012,"F","Adult",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,3,0,0,3,0,0,3,0,0,5,0,0,6,0,0,11,0,0,12,0,0,12,0,0,13,0,0,17,0,0,17,0,0,17,0
"4086","67126571","67126571-2012-06-19",60,60,2012-06-19,"HA1",2012,"F","NotAdult",1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,3,0,0,5,0,0,6,0,0,10,0,0,13,0,0,13,0,0,17,0,0,17,0,0,17,0,0,17,0
"4089","66883112","66883112-2012-06-19",80,100,2012-06-19,"HA1",2012,"F","Adult",0,0,0,0,NA,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,4,0,0,4,0,0,5,0,0,11,0,0,12,0,0,13,0,0,13,0
"4090","66878865","66878865-2012-06-19",80,80,2012-06-19,"HA1",2012,"M","Adult",0,0,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,4,0,0,7,0,0,10,0,0,13,0,0,13,0,0,16,0,0,17,0
"4092","67259597","67259597-2012-06-19",100,30,2012-06-19,"HA1",2012,"F","Adult",0,0,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,4,0,0,4,0,0,5,0,0,8,0,0,10,0,0,14,0,0,17,0
"4094","49847790","49847790-2012-06-20",10,100,2012-06-20,"HA1",2012,"F","Adult",0,0,0,0,NA,0,1,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,5,0,0,8,0,0,15,0,0,18,0,0,23,0,0,27,0,0,27,0
"4096","67010314","67010314-2012-06-21",10,70,2012-06-21,"HA1",2012,"M","Adult",0,0,0,0,NA,0,1,0,0,2,0,0,3,0,0,3,0,0,4,0,0,6,0,0,8,0,0,10,0,0,10,0,0,13,0,0,20,0,0,23,0,0,25,0,0,26,0,0,30,0,0,30,0
"4099","66811012","66811012-2012-06-21",90,70,2012-06-21,"HA1",2012,"F","Adult",1,0,0,0,NA,0,0,NA,0,2,0,0,2,0,0,3,0,0,4,0,0,4,0,0,7,0,0,8,0,0,8,0,0,11,0,0,13,0,0,16,0,0,18,0,0,22,0,0,27,0,0,30,0
"4155","49811771","49811771-2012-07-03",20,20,2012-07-03,"HA1",2012,"F","Adult",1,0,0,0,NA,0,1,0,0,4,0,0,7,0,0,10,0,0,12,0,0,12,0,0,13,0,0,13,0,0,15,0,0,15,0,0,19,0,0,22,0,0,24,0,0,29,0,0,33,0,0,34,0
"4158","49847790","49847790-2012-07-03",20,70,2012-07-03,"HA1",2012,"F","Adult",0,0,0,0,NA,0,2,0,0,3,0,0,3,0,0,5,0,0,5,0,0,6,0,0,11,0,0,13,0,0,13,0,0,15,0,0,20,0,0,28,0,0,30,0,0,33,0,0,34,0,0,34,0
"4160","67125021","67125021-2012-07-03",60,30,2012-07-03,"HA1",2012,"M","Adult",1,1,0,0,NA,0,1,0,0,1,0,0,2,0,0,4,0,0,4,0,0,6,0,0,7,0,0,9,0,0,10,0,0,13,0,0,21,0,0,26,0,0,33,0,0,34,0,0,34,0,0,34,0
"4161","52842550","52842550-2012-07-03",60,60,2012-07-03,"HA1",2012,"F","Adult",1,0,0,2,0,0,2,0,0,3,0,0,3,0,0,4,0,0,6,0,0,6,0,0,8,0,0,10,0,0,12,0,0,20,0,0,25,0,0,28,0,0,34,0,0,34,0,0,34,0,0,34,0
"4162","66878865","66878865-2012-07-03",70,0,2012-07-03,"HA1",2012,"M","Adult",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,6,0,0,8,0,0,16,0,0,21,0,0,25,0,0,29,0,0,33,0
"4164","66859820","66859820-2012-07-04",0,100,2012-07-04,"HA1",2012,"M","Adult",0,0,0,0,NA,0,1,0,0,2,0,0,2,0,0,3,0,0,3,0,0,4,0,0,5,0,0,6,0,0,6,0,0,8,0,0,11,0,0,15,0,0,23,0,1,28,0.0344827586206897,2,35,0.0540540540540541,2,39,0.0487804878048781
"4167","66810776","66810776-2012-07-04",70,30,2012-07-04,"HA1",2012,"M","Adult",1,0,0,0,NA,1,1,0.5,1,2,0.333333333333333,1,3,0.25,1,3,0.25,1,4,0.2,1,6,0.142857142857143,1,11,0.0833333333333333,1,11,0.0833333333333333,1,11,0.0833333333333333,1,14,0.0666666666666667,1,21,0.0454545454545455,2,31,0.0606060606060606,2,39,0.0487804878048781,2,41,0.0465116279069767,2,42,0.0454545454545455,2,42,0.0454545454545455
"4169","66815612","66815612-2012-07-04",100,80,2012-07-04,"HA1",2012,"F","Adult",0,0,0,1,0,0,2,0,0,3,0,0,4,0,0,4,0,0,6,0,0,6,0,0,6,0,0,7,0,0,7,0,0,13,0,0,14,0,1,14,0.0666666666666667,1,19,0.05,1,27,0.0357142857142857,1,32,0.0303030303030303,2,34,0.0555555555555556
"4207","52842550","52842550-2012-07-18",60,90,2012-07-18,"HA1",2012,"F","Adult",1,0,0,0,NA,0,1,0,0,3,0,0,3,0,1,7,0.125,1,7,0.125,1,10,0.0909090909090909,1,12,0.0769230769230769,1,13,0.0714285714285714,1,14,0.0666666666666667,1,25,0.0384615384615385,2,30,0.0625,2,35,0.0540540540540541,2,41,0.0465116279069767,3,44,0.0638297872340425,3,53,0.0535714285714286,3,55,0.0517241379310345
"4212","66815612","66815612-2012-07-18",80,90,2012-07-18,"HA1",2012,"F","Adult",0,0,0,0,NA,1,3,0.25,1,5,0.166666666666667,1,6,0.142857142857143,1,10,0.0909090909090909,1,11,0.0833333333333333,1,12,0.0769230769230769,1,13,0.0714285714285714,1,16,0.0588235294117647,1,16,0.0588235294117647,1,17,0.0555555555555556,1,19,0.05,2,29,0.0645161290322581,2,35,0.0540540540540541,2,41,0.0465116279069767,3,46,0.0612244897959184,3,53,0.0535714285714286
"4213","67259597","67259597-2012-07-18",90,50,2012-07-18,"HA1",2012,"F","Adult",0,0,0,0,NA,0,0,NA,0,0,NA,0,2,0,0,5,0,0,7,0,0,7,0,0,13,0,1,13,0.0714285714285714,1,14,0.0666666666666667,1,18,0.0526315789473684,2,29,0.0645161290322581,2,30,0.0625,2,36,0.0526315789473684,3,48,0.0588235294117647,3,53,0.0535714285714286,3,55,0.0517241379310345
"4238","66809820","66809820-2012-07-17",30,50,2012-07-17,"HA1",2012,"F","NotAdult",0,0,0,1,0,0,2,0,0,6,0,0,6,0,0,8,0,0,9,0,0,9,0,0,15,0,2,18,0.1,2,19,0.0952380952380952,2,30,0.0625,2,37,0.0512820512820513,2,40,0.0476190476190476,2,47,0.0408163265306122,2,48,0.04,2,48,0.04,2,48,0.04
"4239","49811771","49811771-2012-07-17",40,20,2012-07-17,"HA1",2012,"F","Adult",1,0,0,1,0,0,1,0,0,1,0,0,4,0,1,5,0.166666666666667,1,6,0.142857142857143,2,7,0.222222222222222,2,13,0.133333333333333,2,16,0.111111111111111,2,18,0.1,2,27,0.0689655172413793,2,31,0.0606060606060606,2,34,0.0555555555555556,2,37,0.0512820512820513,2,46,0.0416666666666667,2,48,0.04,2,48,0.04
"4244","66815612","66815612-2012-07-17",100,70,2012-07-17,"HA1",2012,"F","Adult",0,0,0,0,NA,0,3,0,0,3,0,0,4,0,0,5,0,0,5,0,0,6,0,0,7,0,0,10,0,0,11,0,0,17,0,1,18,0.0526315789473684,1,21,0.0454545454545455,1,27,0.0357142857142857,1,32,0.0303030303030303,1,37,0.0263157894736842,2,44,0.0434782608695652
"4245","66810776","66810776-2012-07-17",70,0,2012-07-17,"HA1",2012,"M","Adult",1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,0,3,0,0,4,0,1,5,0.166666666666667,1,6,0.142857142857143,1,6,0.142857142857143,1,9,0.1,1,12,0.0769230769230769,2,24,0.0769230769230769,2,30,0.0625,2,36,0.0526315789473684,2,40,0.0476190476190476,2,45,0.0425531914893617
"4295","67091302","67091302-2012-08-14",10,10,2012-08-14,"HA1",2012,"F","NotAdult",0,0,0,5,0,1,7,0.125,1,12,0.0769230769230769,1,13,0.0714285714285714,1,13,0.0714285714285714,1,13,0.0714285714285714,1,14,0.0666666666666667,1,18,0.0526315789473684,1,19,0.05,1,19,0.05,1,24,0.04,2,30,0.0625,2,36,0.0526315789473684,2,43,0.0444444444444444,2,51,0.0377358490566038,2,60,0.032258064516129,2,66,0.0294117647058824
"4298","49811771","49811771-2012-08-14",30,50,2012-08-14,"HA1",2012,"F","Adult",1,0,0,2,0,0,4,0,0,8,0,0,8,0,0,10,0,0,12,0,0,14,0,0,21,0,2,25,0.0740740740740741,2,26,0.0714285714285714,2,44,0.0434782608695652,2,56,0.0344827586206897,2,62,0.03125,3,71,0.0405405405405405,3,73,0.0394736842105263,3,73,0.0394736842105263,3,73,0.0394736842105263
"4300","52842550","52842550-2012-08-14",50,100,2012-08-14,"HA1",2012,"F","Adult",1,0,0,0,NA,0,3,0,0,5,0,0,9,0,0,10,0,0,10,0,1,13,0.0714285714285714,1,14,0.0666666666666667,1,16,0.0588235294117647,1,18,0.0526315789473684,1,29,0.0333333333333333,1,41,0.0238095238095238,1,45,0.0217391304347826,2,51,0.0377358490566038,3,58,0.0491803278688525,3,67,0.0428571428571429,3,72,0.04
"4301","79618812","79618812-2012-08-14",50,40,2012-08-14,"HA1",2012,"M","Adult",0,0,0,0,NA,0,1,0,1,4,0.2,1,5,0.166666666666667,1,15,0.0625,1,15,0.0625,1,16,0.0588235294117647,1,18,0.0526315789473684,1,22,0.0434782608695652,1,24,0.04,2,42,0.0454545454545455,2,55,0.0350877192982456,3,68,0.0422535211267606,3,73,0.0394736842105263,3,73,0.0394736842105263,3,73,0.0394736842105263,3,73,0.0394736842105263
